reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.95,0.09,0.3,0.9,1e-08,1.0,7.272000000000001,1.4608121029071466
300,gold,0.95,0.09,0.5,0.9,1e-08,1.0,8.023800000000001,1.3442572521656713
300,gold,0.95,0.09,0.7,0.9,1e-08,1.0,8.4318,1.5244110862887341
300,gold,0.95,0.09,0.9,0.9,1e-08,1.0,7.917000000000001,0.8645883413509581
300,gold,0.95,0.09,1.0,0.9,1e-08,1.0,8.0016,1.059625141264589
300,gold,0.95,0.1,0.1,0.9,1e-08,1.0,3.7020000000000013,1.651934139122986
300,gold,0.95,0.1,0.3,0.9,1e-08,1.0,7.241400000000001,1.3762029065512105
300,gold,0.95,0.1,0.5,0.9,1e-08,1.0,7.8852,1.164827952961295
300,gold,0.95,0.1,0.7,0.9,1e-08,1.0,7.971000000000001,1.2981905099021487
300,gold,0.95,0.1,0.9,0.9,1e-08,1.0,8.110199999999999,1.1800981145650562
300,gold,0.95,0.1,1.0,0.9,1e-08,1.0,8.1342,1.4404675490964731
300,gold,0.98,0.01,0.1,0.9,1e-08,1.0,3.9660000000000006,1.187830290908596
300,gold,0.98,0.01,0.3,0.9,1e-08,1.0,7.0536,1.7141679730994863
300,gold,0.98,0.01,0.5,0.9,1e-08,1.0,7.753799999999999,0.8910234340352673
300,gold,0.98,0.01,0.7,0.9,1e-08,1.0,7.784400000000001,1.0851848874730985
300,gold,0.98,0.01,0.9,0.9,1e-08,1.0,8.0646,1.1217864502658246
300,gold,0.98,0.01,1.0,0.9,1e-08,1.0,8.2518,1.7284729561089467
300,gold,0.98,0.03,0.1,0.9,1e-08,1.0,4.064400000000001,1.346382352825527
300,gold,0.98,0.03,0.3,0.9,1e-08,1.0,6.6084,1.2169715855351761
300,gold,0.98,0.03,0.5,0.9,1e-08,1.0,8.4984,1.2301410650815618
300,gold,0.98,0.03,0.7,0.9,1e-08,1.0,8.2956,1.7425867668497885
300,gold,0.98,0.03,0.9,0.9,1e-08,1.0,8.3964,1.3200087272438772
300,gold,0.98,0.03,1.0,0.9,1e-08,1.0,8.3238,1.3173875511784672
300,gold,0.98,0.05,0.1,0.9,1e-08,1.0,3.7908000000000004,1.5325785330611932
300,gold,0.98,0.05,0.3,0.9,1e-08,1.0,7.343999999999999,1.3151091209477634
300,gold,0.98,0.05,0.5,0.9,1e-08,1.0,7.694999999999999,0.9183499333042934
300,gold,0.98,0.05,0.7,0.9,1e-08,1.0,8.0436,1.1018071700619851
300,gold,0.98,0.05,0.9,0.9,1e-08,1.0,8.4864,1.588301432348407
300,gold,0.98,0.05,1.0,0.9,1e-08,1.0,8.194799999999999,1.182486600346913
300,gold,0.98,0.07,0.1,0.9,1e-08,1.0,3.558000000000001,1.59946541069196
300,gold,0.98,0.07,0.3,0.9,1e-08,1.0,7.195799999999999,1.1407672681138776
300,gold,0.98,0.07,0.5,0.9,1e-08,1.0,8.283,1.297616353164525
300,gold,0.98,0.07,0.7,0.9,1e-08,1.0,8.3928,1.5466943330858882
300,gold,0.98,0.07,0.9,0.9,1e-08,1.0,8.349,1.0641342960359839
300,gold,0.98,0.07,1.0,0.9,1e-08,1.0,8.3094,1.3529127244578638
300,gold,0.98,0.09,0.1,0.9,1e-08,1.0,3.5406000000000004,1.7298998930573988
300,gold,0.98,0.09,0.3,0.9,1e-08,1.0,7.0536,1.1053107436372815
300,gold,0.98,0.09,0.5,0.9,1e-08,1.0,8.04,1.251151789352515
300,gold,0.98,0.09,0.7,0.9,1e-08,1.0,8.408399999999999,2.6549999322033884
300,gold,0.98,0.09,0.9,0.9,1e-08,1.0,8.4942,1.2832148534053056
300,gold,0.98,0.09,1.0,0.9,1e-08,1.0,7.8948,0.9151791955677316
300,gold,0.98,0.1,0.1,0.9,1e-08,1.0,3.1128000000000005,1.4793542374968878
300,gold,0.98,0.1,0.3,0.9,1e-08,1.0,6.664200000000002,0.784404716966949
300,gold,0.98,0.1,0.5,0.9,1e-08,1.0,7.875000000000001,1.012945901813122
300,gold,0.98,0.1,0.7,0.9,1e-08,1.0,8.1498,0.9975820567752819
300,gold,0.98,0.1,0.9,0.9,1e-08,1.0,8.335199999999999,1.0965721864063487
300,gold,0.98,0.1,1.0,0.9,1e-08,1.0,7.9722,1.4035564684044601
