spectral_radius,input_scale,leaking_rate,ridge_alpha,connectivity,mean_T_VPT,std_dev
0.9,0.2,0.6,1e-06,0.1,10.100000000000005,1.4352560747128018
0.9,0.2,0.6,1e-07,0.02,10.808000000000007,1.7854456026437788
0.9,0.2,0.6,1e-07,0.04,10.66,1.2276155750070932
0.9,0.2,0.6,1e-07,0.06,10.310000000000006,0.9090984545141425
0.9,0.2,0.6,1e-07,0.08,10.577000000000004,1.0224729825281493
0.9,0.2,0.6,1e-07,0.1,10.799000000000007,0.908327584079661
0.9,0.2,0.7,1e-06,0.02,9.935000000000004,1.183703932577738
0.9,0.2,0.7,1e-06,0.04,10.235000000000003,1.3584531644484454
0.9,0.2,0.7,1e-06,0.06,9.751000000000001,1.2196962736681614
0.9,0.2,0.7,1e-06,0.08,9.965000000000002,1.1640425249964057
0.9,0.2,0.7,1e-06,0.1,9.505000000000003,0.8070904534189446
0.9,0.2,0.7,1e-07,0.02,10.721000000000005,1.2760795429752778
0.9,0.2,0.7,1e-07,0.04,10.916000000000006,0.7895213739981971
0.9,0.2,0.7,1e-07,0.06,10.885000000000007,1.361350432475048
0.9,0.2,0.7,1e-07,0.08,10.817000000000004,1.0317417312486707
0.9,0.2,0.7,1e-07,0.1,10.767000000000007,0.9153857110529966
0.9,0.4,0.3,1e-06,0.02,9.270000000000007,0.715946925407184
0.9,0.4,0.3,1e-06,0.04,8.955000000000004,1.516454747099298
0.9,0.4,0.3,1e-06,0.06,9.927000000000003,1.4446767804599079
0.9,0.4,0.3,1e-06,0.08,8.724000000000007,1.2340761726895175
0.9,0.4,0.3,1e-06,0.1,9.603000000000005,2.0584098231401873
0.9,0.4,0.3,1e-07,0.02,9.843000000000005,1.0442657707691059
0.9,0.4,0.3,1e-07,0.04,10.021000000000004,1.5716421348385905
0.9,0.4,0.3,1e-07,0.06,10.084000000000005,1.305260127330949
0.9,0.4,0.3,1e-07,0.08,9.920000000000005,1.4572165247484683
0.9,0.4,0.3,1e-07,0.1,10.019000000000005,1.142636862699608
0.9,0.4,0.4,1e-06,0.02,10.178,1.6712976993940982
0.9,0.4,0.4,1e-06,0.04,10.021000000000004,1.7537100672574137
0.9,0.4,0.4,1e-06,0.06,9.520000000000003,1.2979368243485523
0.9,0.4,0.4,1e-06,0.08,10.084000000000005,1.5755329257111703
0.9,0.4,0.4,1e-06,0.1,10.244000000000005,1.586071877311995
0.9,0.4,0.4,1e-07,0.02,10.626000000000005,1.2704503138651264
0.9,0.4,0.4,1e-07,0.04,10.530000000000006,1.0750906938486626
0.9,0.4,0.4,1e-07,0.06,10.473000000000003,1.3198677964099297
0.9,0.4,0.4,1e-07,0.08,10.106000000000005,1.3897064438218594
0.9,0.4,0.4,1e-07,0.1,10.488000000000005,1.089814663142314
0.9,0.4,0.5,1e-06,0.02,9.469000000000003,1.910188210622191
0.9,0.4,0.5,1e-06,0.04,9.921000000000005,0.9913924550852717
0.9,0.4,0.5,1e-06,0.06,9.990000000000004,1.2583083882737147
0.9,0.4,0.5,1e-06,0.08,10.022000000000004,0.9782617236711258
0.9,0.4,0.5,1e-06,0.1,9.622000000000005,1.2645457682504038
0.9,0.4,0.5,1e-07,0.02,10.807000000000006,1.4567535824565518
0.9,0.4,0.5,1e-07,0.04,10.445000000000004,1.5455209477713336
0.9,0.4,0.5,1e-07,0.06,10.577000000000004,1.25261765914424
0.9,0.4,0.5,1e-07,0.08,11.092000000000004,1.715440468218001
0.9,0.4,0.5,1e-07,0.1,11.202000000000004,1.6344283404297637
0.9,0.4,0.6,1e-06,0.02,9.932000000000006,0.8417695646671955
0.9,0.4,0.6,1e-06,0.04,10.201000000000004,1.0976060313245357
0.9,0.4,0.6,1e-06,0.06,10.040000000000003,1.6187526061755095
0.9,0.4,0.6,1e-06,0.08,10.009000000000006,1.2354023636046643
0.9,0.4,0.6,1e-06,0.1,10.355000000000004,1.493919341865552
0.9,0.4,0.6,1e-07,0.02,10.903000000000002,1.3027551573492213
0.9,0.4,0.6,1e-07,0.04,10.577000000000007,0.8678542504360967
0.9,0.4,0.6,1e-07,0.06,10.661000000000005,1.2149316853222638
0.9,0.4,0.6,1e-07,0.08,11.107000000000006,1.1705601223346003
0.9,0.4,0.6,1e-07,0.1,10.622000000000007,1.042149701338536
0.9,0.4,0.7,1e-06,0.02,9.781000000000002,2.1712528641316746
