reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.005,4.28350934741446,0.9803165432066121,"{'200': 0.1100486388344801, '400': 1.316732933504441, '600': 1.8212043199858174, '800': 2.0376428173905166, '1000': 2.1158253158890274}","{'200': 0.23046000384594076, '400': 0.45649594309250113, '600': 0.2957116859547556, '800': 0.2957540343793995, '1000': 0.2478368523145903}",55.111111111111114,12.749243502127614
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.01,4.1932332364366935,1.1234872011118187,"{'200': 0.2216211049732737, '400': 1.3235143609156945, '600': 1.8076735828551138, '800': 1.9752895456715645, '1000': 2.0670071604923654}","{'200': 0.3999457190856524, '400': 0.4661905213957817, '600': 0.33624198905962177, '800': 0.32955986265517556, '1000': 0.2690756869574474}",54.46666666666667,11.672569935060954
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.005,4.094850699167044,1.1080437884511865,"{'200': 0.2042461203383168, '400': 1.3902624924624973, '600': 1.836600925384737, '800': 2.0138446775671337, '1000': 2.105746658961635}","{'200': 0.38995954196153493, '400': 0.4926549881900204, '600': 0.3453093487450116, '800': 0.3193083871016908, '1000': 0.2691032603664391}",57.44444444444444,12.08038916877829
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.01,3.9673587220310953,0.6975412810887037,"{'200': 0.17424321085274808, '400': 1.475652525506177, '600': 1.9090191146135436, '800': 2.0765523799459666, '1000': 2.1602646316762857}","{'200': 0.31550708223877333, '400': 0.3399088606766572, '600': 0.25361786145726584, '800': 0.26817278963532787, '1000': 0.2271236714528427}",56.044444444444444,12.057188829455058
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.005,4.319251317883208,1.0914024662354365,"{'200': 0.1530837491375177, '400': 1.3039929818873779, '600': 1.8324098475249708, '800': 2.0081998223049995, '1000': 2.110521395897943}","{'200': 0.24978348679531104, '400': 0.46905398866468684, '600': 0.2917826573478437, '800': 0.2786847684834333, '1000': 0.22855611798462983}",51.44444444444444,12.380191266796695
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.01,4.113642869207315,0.9195609101915443,"{'200': 0.16260756106820592, '400': 1.322216819891003, '600': 1.7750132313259555, '800': 1.9600483143485905, '1000': 2.0742770032514195}","{'200': 0.296450767870549, '400': 0.4009123797593291, '600': 0.33325401323078707, '800': 0.29890965955669857, '1000': 0.25913211196804664}",52.888888888888886,11.425550747186904
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.005,4.16449227049275,1.0376722872129736,"{'200': 0.19084547066784457, '400': 1.3886756325647007, '600': 1.8643266869886892, '800': 2.063057205413184, '1000': 2.1313292528773924}","{'200': 0.354350757279895, '400': 0.470214746412567, '600': 0.2973691819516334, '800': 0.2868187416316024, '1000': 0.23489750522835467}",54.86666666666667,13.115893666337291
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.01,4.125802508645137,1.0325745193033615,"{'200': 0.1792252631964542, '400': 1.382370378529313, '600': 1.8328052918549387, '800': 2.014455867496688, '1000': 2.082560817844901}","{'200': 0.32911552941963845, '400': 0.4568183744318021, '600': 0.31514091779119235, '800': 0.31175218897651874, '1000': 0.2590726703279942}",58.333333333333336,15.062831370260005
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.005,3.9780444657794836,1.0174554529547026,"{'200': 0.2023325706406832, '400': 1.3922786818614512, '600': 1.853885140059161, '800': 2.028991670735883, '1000': 2.1090849576194004}","{'200': 0.3683660639207495, '400': 0.40282460128056446, '600': 0.29854336986669294, '800': 0.29602877146554296, '1000': 0.2531934457678219}",53.355555555555554,12.789154355773585
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.01,4.070899894213759,0.7778244491763985,"{'200': 0.1430844271326993, '400': 1.3743392803415324, '600': 1.8405327434860665, '800': 2.0293896126222366, '1000': 2.121918298414223}","{'200': 0.2509150051628875, '400': 0.3661562289249684, '600': 0.27238315920137673, '800': 0.28085204507233724, '1000': 0.2346783671968455}",53.15555555555556,10.911676835300096
