reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,7,0.005,7.62724084593434,4.431608839302083,"{'200': 0.016552500149325623, '400': 0.027647842323379527, '600': 0.0390892337585211, '800': 0.052596672898177536, '1000': 0.05762573856746673}","{'200': 0.057871457089653786, '400': 0.12078066034643355, '600': 0.14349185325202124, '800': 0.19725399156973536, '1000': 0.21593685118466738}",22.066666666666666,28.58080163715186
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,7,0.01,7.492898098514547,4.527979248992849,"{'200': 0.023040310274346637, '400': 0.035429385444980775, '600': 0.02541381573171917, '800': 0.03708738809122495, '1000': 0.04371026122407367}","{'200': 0.08608296500735403, '400': 0.12573997158855066, '600': 0.0522278851214271, '800': 0.06874801437130545, '1000': 0.08462650871012675}",23.155555555555555,16.275346803685842
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,3,0.005,8.898589664950974,4.74866752916273,"{'200': 0.012998610928255891, '400': 0.028037128032339063, '600': 0.01240496064210845, '800': 0.013410627563101617, '1000': 0.014149774642283662}","{'200': 0.045485705244760574, '400': 0.12519440333014561, '600': 0.03515045887460904, '800': 0.037545804815456996, '1000': 0.04493880772479107}",17.2,11.467054257015326
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,3,0.01,9.029019210425721,4.659747277771706,"{'200': 0.014641261048434693, '400': 0.02124740742116367, '600': 0.010564418870249071, '800': 0.01108417020159651, '1000': 0.011392560883622104}","{'200': 0.05421931036274327, '400': 0.08938413368788231, '600': 0.02404265491809977, '800': 0.0257411946994953, '1000': 0.030755011977651982}",14.933333333333334,9.771614218973468
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,5,0.005,7.721094576455004,4.65889445582963,"{'200': 0.019726692306589876, '400': 0.03475153010645268, '600': 0.022840448676946127, '800': 0.028254925721374603, '1000': 0.031470386355413854}","{'200': 0.07070236430809189, '400': 0.14400656423292385, '600': 0.0541254013718727, '800': 0.061649279246237344, '1000': 0.07315936088977733}",20.11111111111111,10.899994336843019
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,5,0.01,7.852660212817023,5.039905880321722,"{'200': 0.02388644763382762, '400': 0.03572580570006608, '600': 0.03143298178275396, '800': 0.04586833796964582, '1000': 0.05291083381047032}","{'200': 0.09138727535729835, '400': 0.13129786897958573, '600': 0.09453000587747257, '800': 0.12555776692129242, '1000': 0.151548729186087}",20.755555555555556,14.05094786135331
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,7,0.005,7.936068218790838,4.988122730618918,"{'200': 0.009600020201510724, '400': 0.022080290921328884, '600': 0.08347576393800094, '800': 0.12650055039432997, '1000': 0.15424450083313282}","{'200': 0.026904035581562857, '400': 0.08513492850530104, '600': 0.470538330476006, '800': 0.7093865840414976, '1000': 0.884375900136597}",21.88888888888889,17.3259243424698
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.04,7,0.01,9.70745481860771,4.751511083902799,"{'200': 0.012621335830432259, '400': 0.023331916234076728, '600': 0.013724879314207954, '800': 0.02022850027579359, '1000': 0.022563218759099845}","{'200': 0.041186238571778715, '400': 0.09439126828049235, '600': 0.045500647150779526, '800': 0.062117894659917544, '1000': 0.06926094352978386}",16.066666666666666,14.294365634364084
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.06,3,0.005,8.555458658914935,4.977739909273453,"{'200': 0.01640322884342883, '400': 0.030850432341874155, '600': 0.01887827190724991, '800': 0.027453486150124953, '1000': 0.03170913373538954}","{'200': 0.06120046076129122, '400': 0.11401905379047232, '600': 0.062333664958607385, '800': 0.08630154692584849, '1000': 0.10813183564443563}",17.2,11.030462869304763
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.05,0.06,3,0.01,8.45775484260963,4.84907553700982,"{'200': 0.012572700234344893, '400': 0.030940561717530297, '600': 0.017864361180100766, '800': 0.022115523981068728, '1000': 0.02497337399701487}","{'200': 0.04078137188510997, '400': 0.13059101325535, '600': 0.053049892844726325, '800': 0.06390422079633229, '1000': 0.08160861447487015}",19.0,13.536781169999182
