tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.45,"[0.1, 0.3]","[0.3, 0.1, 0.1]",3.637333333333334,1.40575072865395,"{'200': 0.7557965018073408, '400': 1.6488139046940593, '600': 1.9267421481833193, '800': 2.208923503660762, '1000': 5.3908865918955176}","{'200': 0.5557120181541135, '400': 0.48823630788464, '600': 0.35374016223690413, '800': 0.657956375191609, '1000': 10.369323106731882}"
0.01,0.45,"[0.1, 0.5]","[0.3, 0.1, 0.1]",3.7488888888888905,1.3462808394853705,"{'200': 0.7474833603422795, '400': 1.6141401490425629, '600': 1.964512641132361, '800': 2.130285261096636, '1000': 2.2403024230306747}","{'200': 0.5315831470855491, '400': 0.45527781059720124, '600': 0.3182956719393103, '800': 0.2625715373068206, '1000': 0.2496538369763976}"
0.01,0.45,"[0.1, 0.7]","[0.3, 0.1, 0.1]",3.832000000000001,1.6746337576384345,"{'200': 0.7985956461142968, '400': 1.6213196181702718, '600': 2.2324629149427415, '800': 2.5925747883123136, '1000': 2.749242532587262}","{'200': 0.5824616221892362, '400': 0.5396701549228196, '600': 1.8207288008619054, '800': 3.1135916388496434, '1000': 3.3305370357213784}"
0.01,0.45,"[0.1, 0.9]","[0.3, 0.1, 0.1]",3.648444444444445,1.2316672630680665,"{'200': 0.8453725107157865, '400': 1.7559629860945756, '600': 3.6924882668545043, '800': 4.647130932101198, '1000': 5.144290338486639}","{'200': 0.5765646416982511, '400': 0.4415065865444455, '600': 7.926161928393871, '800': 11.613611218254265, '1000': 13.249029402276493}"
0.01,0.45,"[0.3, 0.1]","[0.3, 0.1, 0.1]",3.714222222222223,1.508356705364246,"{'200': 0.8232734559646555, '400': 1.6525562661771542, '600': 3.4574029653477703, '800': 4.948892796446437, '1000': 8.745166265882139}","{'200': 0.5789292840210349, '400': 0.648081558019497, '600': 9.59312047571675, '800': 14.163816875380768, '1000': 31.976999415247224}"
0.01,0.45,"[0.3, 0.3]","[0.3, 0.1, 0.1]",3.868000000000002,1.3282462957683046,"{'200': 0.6783216824837502, '400': 1.5351030239789225, '600': 2.323082748975716, '800': 5.411122565912038, '1000': 7.086734817972904}","{'200': 0.5196011229503388, '400': 0.4941331271996376, '600': 2.8055439870009264, '800': 18.546234617831256, '1000': 25.29495142825833}"
0.01,0.45,"[0.3, 0.5]","[0.3, 0.1, 0.1]",4.344888888888891,1.9299149344779387,"{'200': 0.6131700532963852, '400': 1.5019412825977092, '600': 2.9697704851911575, '800': 3.259005395931921, '1000': 3.388499783599736}","{'200': 0.5412443713639636, '400': 0.6068958021601206, '600': 7.331728985675045, '800': 7.743472669664333, '1000': 7.931911270391217}"
0.01,0.45,"[0.3, 0.7]","[0.3, 0.1, 0.1]",3.9844444444444447,1.2573544635120126,"{'200': 0.690915154863964, '400': 1.5443857677890669, '600': 1.928052755896934, '800': 2.0792999366993383, '1000': 2.1879232681578853}","{'200': 0.5619259411491128, '400': 0.5128485914199143, '600': 0.3402967829786975, '800': 0.29131384420607925, '1000': 0.27097181176703555}"
0.01,0.45,"[0.3, 0.9]","[0.3, 0.1, 0.1]",4.001777777777779,1.4767340675195515,"{'200': 0.6128689106430086, '400': 1.4900741475697659, '600': 2.448427156397717, '800': 3.1227026122019, '1000': 4.3143545292329835}","{'200': 0.44995429920790686, '400': 0.5765385801203112, '600': 3.8687696210280964, '800': 7.224384350038921, '1000': 10.082530876847073}"
0.01,0.45,"[0.5, 0.1]","[0.3, 0.1, 0.1]",3.387555555555556,0.9337931142640288,"{'200': 0.8095291119923271, '400': 1.9025559897642927, '600': 4.567827494163674, '800': 5.5719086059769705, '1000': 10.684896883737371}","{'200': 0.70345503539962, '400': 1.4390214153563463, '600': 17.35679223063943, '800': 22.978015973249903, '1000': 32.84411008447421}"
0.01,0.45,"[0.5, 0.3]","[0.3, 0.1, 0.1]",3.7120000000000006,1.2724597352284974,"{'200': 0.700835311506211, '400': 1.4948566988912806, '600': 3.116723241604598, '800': 6.330205420039816, '1000': 7.4845561717557905}","{'200': 0.5610605325571097, '400': 0.46393913830839845, '600': 7.98042846110789, '800': 23.870221071359666, '1000': 29.281405929635195}"
0.01,0.45,"[0.5, 0.5]","[0.3, 0.1, 0.1]",3.999111111111112,1.5569540380316975,"{'200': 0.6110358758418095, '400': 2.9738280757229565, '600': 3.3547096744325127, '800': 6.096595469906672, '1000': 6.37112995025549}","{'200': 0.5279733656572171, '400': 9.672501498076594, '600': 10.094213702261506, '800': 26.756359484704213, '1000': 27.795578583199745}"
