reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,5,0.01,9.3186,1.4728660631571355
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,7,0.005,9.585600000000001,1.5876145124053251
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,7,0.01,9.811200000000003,1.3389381464429193
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,3,0.005,9.139800000000001,1.4512635735799335
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,3,0.01,9.261000000000001,1.6420746024465518
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,5,0.005,9.7806,1.6010861438411117
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,5,0.01,9.422400000000003,1.230755475307747
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,7,0.005,9.178200000000002,1.2396007260404456
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.04,7,0.01,9.514800000000001,1.3803594314525478
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,3,0.005,9.6132,1.7002073285337878
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,3,0.01,9.183,1.1962448745971708
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,5,0.005,8.980799999999999,1.227215775648276
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,5,0.01,8.922,1.4989027987164476
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,7,0.005,9.301200000000001,1.478529052808906
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.06,7,0.01,9.324600000000004,1.4656722826061765
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,3,0.005,9.1068,1.9354642233841473
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,3,0.01,9.4392,1.4875276669695932
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,5,0.005,9.5778,1.3688156778763172
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,5,0.01,9.54,1.6810625211454806
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,7,0.005,9.246,1.4805758339240846
