r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.3,0.04,0.2,0.9,1e-08,0.3,7.613200000000001,1.5578429189106329,"{'200': 0.008177771899366242, '400': 0.1450292977885664, '600': 0.5608210946776644, '800': 0.8426320694585233, '1000': 0.9907142712843201}","{'200': 0.015744798296501012, '400': 0.15494003197188855, '600': 0.2312395873874549, '800': 0.1737084715336436, '1000': 0.11610723911180437}","{'200': 0.035260283661875676, '400': 0.02310706531024593, '600': 0.018961932758057198, '800': 0.015820648832739113, '1000': 0.013999067938567668}","{'200': 0.024513303861192933, '400': 0.012837038110301206, '600': 0.011174765929173838, '800': 0.00852392423585551, '1000': 0.007404957541709932}",31.11111111111111,11.86820630877532
0.3,0.04,0.2,0.9,1e-08,0.5,7.476800000000002,1.407561067946965,"{'200': 0.006991472934717446, '400': 0.14587674609679122, '600': 0.6017229562563232, '800': 0.8526847095078534, '1000': 0.9887741858427986}","{'200': 0.011892180970633675, '400': 0.14830267935291644, '600': 0.2096953883346817, '800': 0.135693433416516, '1000': 0.10332094793240539}","{'200': 0.03175329186063925, '400': 0.021726369179823533, '600': 0.017639176831102468, '800': 0.015033037945792757, '1000': 0.013355314698045405}","{'200': 0.01892363048080984, '400': 0.012789038499091729, '600': 0.01046138555535925, '800': 0.00911092461943313, '1000': 0.008138028116295925}",29.955555555555556,11.199118131066403
0.3,0.04,0.2,0.9,1e-08,0.7,7.522,1.587918889616217,"{'200': 0.0071668316460609515, '400': 0.13992463922416865, '600': 0.5753017691254569, '800': 0.8585498570039815, '1000': 0.9972035531830258}","{'200': 0.014223522603440801, '400': 0.13950771835692702, '600': 0.22718182938107165, '800': 0.15514872194244517, '1000': 0.10841334113099}","{'200': 0.032731988004319354, '400': 0.022533419413682188, '600': 0.018225211681302443, '800': 0.015580963118539059, '1000': 0.013849460654245263}","{'200': 0.01828186977312733, '400': 0.012302584941174172, '600': 0.01007290607348608, '800': 0.008714538147175911, '1000': 0.0077925336424044325}",32.86666666666667,12.073110618229256
0.3,0.04,0.2,0.9,1e-08,0.9,7.766000000000001,1.7865157150162432,"{'200': 0.008623957112674075, '400': 0.14354562440930577, '600': 0.5939166387237679, '800': 0.8693491951796023, '1000': 1.0128257209925138}","{'200': 0.016326314629526252, '400': 0.1393998890289582, '600': 0.23540302939065785, '800': 0.16872537340454472, '1000': 0.12318674483783967}","{'200': 0.03425731863105471, '400': 0.022801263636455477, '600': 0.018582488082830327, '800': 0.015663684480954006, '1000': 0.013882384715306374}","{'200': 0.019808600191100374, '400': 0.011128630825758823, '600': 0.00939989985707679, '800': 0.0075736352509947315, '1000': 0.00666366460843199}",29.57777777777778,12.725283474491748
0.3,0.04,0.4,0.1,1e-08,0.1,5.8591999999999995,1.4303256132783189,"{'200': 0.037011628192003085, '400': 0.49760309725220325, '600': 0.913639011968342, '800': 1.0401684567928777, '1000': 1.129848919880938}","{'200': 0.046085128725149374, '400': 0.2766443390141053, '600': 0.2304305838526162, '800': 0.17177489934768725, '1000': 0.15698664919947486}","{'200': 0.20487851445127822, '400': 0.13580408049108172, '600': 0.11100961348808575, '800': 0.09298643456645841, '1000': 0.08228552165051514}","{'200': 0.13730421164661907, '400': 0.07167306400566427, '600': 0.06226371697809481, '800': 0.04734575613636563, '1000': 0.04105269035450059}",31.666666666666668,10.668749796589204
0.3,0.04,0.4,0.1,1e-08,0.3,5.6160000000000005,1.3465850140262219,"{'200': 0.04539530267890968, '400': 0.4895354714305662, '600': 0.9142911521531677, '800': 1.0811945069292388, '1000': 1.1591779073866477}","{'200': 0.0631056395363015, '400': 0.255661127619456, '600': 0.19094975554051563, '800': 0.11768041330112852, '1000': 0.09004423092224406}","{'200': 0.18442572881419125, '400': 0.12373114675171602, '600': 0.10091023706022288, '800': 0.08545646505966377, '1000': 0.07576239190083583}","{'200': 0.10277778695162622, '400': 0.06211114290708342, '600': 0.051733401178587116, '800': 0.044077350355273236, '1000': 0.03893616078947728}",32.86666666666667,11.954729422097161
0.3,0.04,0.4,0.1,1e-08,0.5,5.854,1.5029964737150914,"{'200': 0.05000883929614574, '400': 0.45561904674543374, '600': 0.8760673678093258, '800': 1.0200860084908994, '1000': 1.117706535095914}","{'200': 0.11983599947913566, '400': 0.29864792806825496, '600': 0.21166178917432127, '800': 0.18302049196095385, '1000': 0.15082073259095177}","{'200': 0.2082517438149847, '400': 0.13789114434767316, '600': 0.11285580828400064, '800': 0.09458995566194621, '1000': 0.08373554741130086}","{'200': 0.14026647036864043, '400': 0.07572172433886504, '600': 0.06544827608631186, '800': 0.05114566258430128, '1000': 0.04460466823622313}",30.066666666666666,10.076154469284843
0.3,0.04,0.4,0.1,1e-08,0.7,6.051200000000001,1.4572580279415173,"{'200': 0.05337543701120083, '400': 0.4846140773482576, '600': 0.8983260949483616, '800': 1.0487382374390182, '1000': 1.128112937572649}","{'200': 0.14253321837383545, '400': 0.3300880343781235, '600': 0.25989607804919, '800': 0.16705804735588503, '1000': 0.1304708373559387}","{'200': 0.2012226030914106, '400': 0.13686626922766554, '600': 0.11130920892754664, '800': 0.09484945273357591, '1000': 0.08421754957848603}","{'200': 0.0973295919644343, '400': 0.06270431806944872, '600': 0.051768320089330376, '800': 0.044845760777097954, '1000': 0.03989151023860865}",31.511111111111113,11.426328704107938
0.3,0.04,0.4,0.1,1e-08,0.9,5.877599999999999,1.3080143118483072,"{'200': 0.037406043092551904, '400': 0.46508983677870375, '600': 0.8785213114516591, '800': 1.0392816964084355, '1000': 1.1337486542922965}","{'200': 0.05272750587040772, '400': 0.2879790762903683, '600': 0.2259196325599774, '800': 0.140714635556215, '1000': 0.123887188717469}","{'200': 0.19766839865716124, '400': 0.13267972300221592, '600': 0.10796012323770098, '800': 0.0908325278390599, '1000': 0.08045802581849902}","{'200': 0.11860297011363283, '400': 0.06761499676371392, '600': 0.05695010623245428, '800': 0.04539954041691561, '1000': 0.03986988543062479}",32.4,11.371308924950844
0.3,0.04,0.4,0.3,1e-08,0.1,7.5856,1.37819615439893,"{'200': 0.006315780637650402, '400': 0.11515060288208451, '600': 0.6553239658884236, '800': 0.9094514346455363, '1000': 1.0383041607504797}","{'200': 0.009154757386998507, '400': 0.1010694706762235, '600': 0.21732786261090142, '800': 0.11338540620824523, '1000': 0.10186329439624342}","{'200': 0.09706261389283173, '400': 0.06435815567021433, '600': 0.05260748688097567, '800': 0.04424835756153453, '1000': 0.03913841113058008}","{'200': 0.06677845346946287, '400': 0.037006791042016866, '600': 0.03142679981726422, '800': 0.02514686131768626, '1000': 0.021911744689313697}",31.022222222222222,10.965580268151976
