r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.1,0.02,0.2,0.5,1e-08,0.1,6.9532,1.435255294364037,"{'200': 0.01201657378504777, '400': 0.19491465619561663, '600': 0.6965580974406561, '800': 0.9175559605791005, '1000': 1.0282359720130685}","{'200': 0.019045891870206087, '400': 0.13340541658220337, '600': 0.20458284397009407, '800': 0.13530176843059616, '1000': 0.12844565118892964}","{'200': 0.060293059325637166, '400': 0.04135596290727623, '600': 0.033494131851617544, '800': 0.02851814529829755, '1000': 0.025323135055921753}","{'200': 0.02644922635560913, '400': 0.0170131135067659, '600': 0.013968340763783572, '800': 0.011892198399793153, '1000': 0.01056878672092633}",30.42222222222222,12.201072610205472
0.1,0.02,0.2,0.5,1e-08,0.3,7.241200000000001,1.8195443825309676,"{'200': 0.011528568772588264, '400': 0.213447802887166, '600': 0.741983293480981, '800': 0.9375733738924668, '1000': 1.0632534732520056}","{'200': 0.014676130230303456, '400': 0.17611174349178293, '600': 0.24153963117823915, '800': 0.20000553128138276, '1000': 0.13076721441966407}","{'200': 0.05651339037740416, '400': 0.03828874892120352, '600': 0.031199724299306848, '800': 0.026577467553423908, '1000': 0.02357404972711156}","{'200': 0.03337905933441855, '400': 0.02121019351838066, '600': 0.017624232322443766, '800': 0.015329325843193796, '1000': 0.013574149486138868}",29.666666666666668,11.09554465139549
0.1,0.02,0.2,0.5,1e-08,0.5,7.146399999999999,1.7595555802531506,"{'200': 0.011361788595915504, '400': 0.20281547922837065, '600': 0.6724016416617975, '800': 0.9095271418355937, '1000': 1.0368205930746828}","{'200': 0.016084556326725518, '400': 0.1655127364352806, '600': 0.23566836454102974, '800': 0.18828012881964729, '1000': 0.14744851966902786}","{'200': 0.07035986192156736, '400': 0.04666333138455683, '600': 0.038116461144439055, '800': 0.03211108293095319, '1000': 0.02842454735881651}","{'200': 0.044482491260595954, '400': 0.025634119767129433, '600': 0.02163638401827957, '800': 0.01789585374919135, '1000': 0.015703635101376744}",30.31111111111111,12.696145035617391
0.1,0.02,0.2,0.5,1e-08,0.7,6.872,1.4441983243308376,"{'200': 0.014048386363677228, '400': 0.212631227170232, '600': 0.7220149098303551, '800': 0.9563200345040346, '1000': 1.0623382026107613}","{'200': 0.023332088851626714, '400': 0.1456697917759586, '600': 0.22705558872981585, '800': 0.142378735908368, '1000': 0.12426595862615868}","{'200': 0.06310482565713685, '400': 0.04185801138174872, '600': 0.03423112992267462, '800': 0.028752170619790348, '1000': 0.025448827153233787}","{'200': 0.04492120941905642, '400': 0.025322763768842932, '600': 0.021636772136879954, '800': 0.017178970359401458, '1000': 0.015063102780782085}",30.55555555555556,11.208242117211096
0.1,0.02,0.2,0.5,1e-08,0.9,7.302000000000002,1.4617310286095728,"{'200': 0.011721555542143528, '400': 0.1846015993270935, '600': 0.6675853713426333, '800': 0.9162132631440332, '1000': 1.034684520758644}","{'200': 0.018575147768491007, '400': 0.14997594267320213, '600': 0.22388009364900713, '800': 0.12561107460523915, '1000': 0.10634128573740122}","{'200': 0.0576244565895863, '400': 0.03787267889599838, '600': 0.030926465883915302, '800': 0.025781508558738956, '1000': 0.022786424858426982}","{'200': 0.04865538944074719, '400': 0.02625472273800623, '600': 0.022567687150153944, '800': 0.017245797190338526, '1000': 0.01499102746987027}",28.91111111111111,10.809095392764211
0.1,0.02,0.2,0.7,1e-08,0.1,7.147599999999999,1.2344776385176042,"{'200': 0.01349183607571971, '400': 0.20475391137601864, '600': 0.7117291179184725, '800': 0.9302594431922527, '1000': 1.0487167284222014}","{'200': 0.02157671373550538, '400': 0.18057558423225045, '600': 0.2000544328624205, '800': 0.132375120868649, '1000': 0.11411452203367682}","{'200': 0.033847131316801816, '400': 0.02277025428488516, '600': 0.01848334676210231, '800': 0.015642466253697813, '1000': 0.013861332802738812}","{'200': 0.019545784748182134, '400': 0.011159732326965544, '600': 0.009368143516858772, '800': 0.007572121102740774, '1000': 0.0066338884759221586}",31.511111111111116,12.833328523327625
0.1,0.02,0.2,0.7,1e-08,0.3,7.140400000000002,1.119168548521625,"{'200': 0.010756442387804271, '400': 0.19871909068731333, '600': 0.7380265010034915, '800': 0.9416678612796272, '1000': 1.0606390255684257}","{'200': 0.017555801776249453, '400': 0.1657154613116716, '600': 0.184116120234471, '800': 0.15819249980803712, '1000': 0.13773073934436203}","{'200': 0.03974135553632405, '400': 0.026587252113131926, '600': 0.021672079933514513, '800': 0.01838161392658545, '1000': 0.01629071948000956}","{'200': 0.0239360115912377, '400': 0.014198411757845485, '600': 0.011856839809655706, '800': 0.009930556802847237, '1000': 0.00875005404581568}",29.666666666666668,11.003029885748136
0.1,0.02,0.2,0.7,1e-08,0.5,7.482000000000001,1.606692005332696,"{'200': 0.011750342517853403, '400': 0.17520827616946566, '600': 0.6852015068702269, '800': 0.9443129504323682, '1000': 1.051942324021866}","{'200': 0.02037085798387295, '400': 0.16388741711592192, '600': 0.25203215958893405, '800': 0.13147052184765454, '1000': 0.10765116210397216}","{'200': 0.029953040500706588, '400': 0.02038033394277226, '600': 0.016565792686018516, '800': 0.014070075112192848, '1000': 0.012496421070648491}","{'200': 0.01504541459879174, '400': 0.009597278734004169, '600': 0.007952958529485934, '800': 0.006693402927102713, '1000': 0.0059627317643237195}",29.933333333333334,7.5964904177301955
0.1,0.02,0.2,0.7,1e-08,0.7,7.558799999999999,1.7738882039181616,"{'200': 0.012870742716378732, '400': 0.18987569296806003, '600': 0.6473711367457002, '800': 0.8890306448785246, '1000': 1.022296983391905}","{'200': 0.02215715652050648, '400': 0.17424493516435538, '600': 0.2470291949647134, '800': 0.16814658438454816, '1000': 0.1303295639723963}","{'200': 0.035979736752130946, '400': 0.024635096395793355, '600': 0.01996538435732878, '800': 0.017073313196804572, '1000': 0.015157849788545672}","{'200': 0.019621674516906506, '400': 0.013208803537347434, '600': 0.010712551187391993, '800': 0.009571967554524335, '1000': 0.008496383586272362}",30.64444444444445,11.143818526789849
0.1,0.02,0.2,0.7,1e-08,0.9,7.1816,1.5649513219266602,"{'200': 0.01177803360877739, '400': 0.18785941256226749, '600': 0.68680379273937, '800': 0.9155921006147907, '1000': 1.0472553745479671}","{'200': 0.020669560229242694, '400': 0.17639539483991795, '600': 0.2487061892236051, '800': 0.19134187475748685, '1000': 0.14861858968543176}","{'200': 0.03343647877014821, '400': 0.022763649824684068, '600': 0.018562123864294906, '800': 0.015810385961417556, '1000': 0.014051345700251176}","{'200': 0.021402336602706226, '400': 0.014080632615501293, '600': 0.011659241735442631, '800': 0.009993273596859305, '1000': 0.008912246434715365}",28.355555555555554,9.617473809121384
