input_scale,leaking_rate,ridge_alpha,cycle_weight,connect_weight,combine_factor,mean_T_VPT,std_dev
0.1,0.5,1e-06,1.0,0.6,0.5,4.972000000000007,0.6182038498747812
0.1,0.5,1e-06,1.0,0.6,0.6,5.604000000000004,1.5647951942666505
0.1,0.5,1e-06,1.0,0.6,0.7,5.968000000000002,1.4307816045784203
0.1,0.5,1e-06,1.0,0.8,0.3,4.081000000000005,1.1691616654680368
0.1,0.5,1e-06,1.0,0.8,0.4,5.139000000000003,1.5655219576869557
0.1,0.5,1e-06,1.0,0.8,0.5,5.608000000000001,1.916928793669708
0.1,0.5,1e-06,1.0,0.8,0.6,5.822000000000003,1.431962290006271
0.1,0.5,1e-06,1.0,0.8,0.7,5.815000000000007,1.0456170427073177
0.1,0.5,1e-06,1.0,1.0,0.3,4.278000000000003,1.6781048834920897
0.1,0.5,1e-06,1.0,1.0,0.4,4.8960000000000035,1.1832599038250207
0.1,0.5,1e-06,1.0,1.0,0.5,5.236000000000002,1.0274745738946527
0.1,0.5,1e-06,1.0,1.0,0.6,5.293000000000005,0.247085005615477
0.1,0.5,1e-06,1.0,1.0,0.7,6.3640000000000025,2.0769843523724463
0.1,0.5,1e-07,0.6,0.6,0.3,11.454000000000004,2.0393342050777243
0.1,0.5,1e-07,0.6,0.6,0.4,11.222000000000005,1.4585321388299939
0.1,0.5,1e-07,0.6,0.6,0.5,10.700000000000006,1.1822013364905344
0.1,0.5,1e-07,0.6,0.6,0.6,10.528000000000002,1.096182466562934
0.1,0.5,1e-07,0.6,0.6,0.7,10.711000000000007,0.9532990087060803
0.1,0.5,1e-07,0.6,0.8,0.3,10.995000000000005,1.2695176249268878
0.1,0.5,1e-07,0.6,0.8,0.4,11.219000000000005,1.5086480702933982
0.1,0.5,1e-07,0.6,0.8,0.5,10.833000000000006,1.4650361770277187
0.1,0.5,1e-07,0.6,0.8,0.6,10.623000000000006,1.1989040829023787
0.1,0.5,1e-07,0.6,0.8,0.7,10.740000000000006,1.1171033971839825
0.1,0.5,1e-07,0.6,1.0,0.3,11.019000000000004,1.1405871295083074
0.1,0.5,1e-07,0.6,1.0,0.4,11.433000000000003,1.6882331000190676
0.1,0.5,1e-07,0.6,1.0,0.5,10.827000000000004,1.3665617439398814
0.1,0.5,1e-07,0.6,1.0,0.6,10.628000000000004,1.0565869580872176
