reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.01,8.64741890462348,4.715225439170204,"{'200': 0.011572737245185684, '400': 0.026101090664121567, '600': 0.012005732166952828, '800': 0.013749271206350298, '1000': 0.014490442069487273}","{'200': 0.04153520023675382, '400': 0.11167426278821242, '600': 0.03107061788205676, '800': 0.03307423407015767, '1000': 0.03914820511610791}",16.711111111111112,10.636670787050749
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.005,6.891401089864967,4.09139053283972,"{'200': 0.017570262763809023, '400': 0.041259207022926195, '600': 0.03344004572763589, '800': 0.04037498535316681, '1000': 0.043831092080226515}","{'200': 0.05213577664535242, '400': 0.1563741411780164, '600': 0.07846978740594276, '800': 0.08998359387824506, '1000': 0.09959446490044543}",24.155555555555555,14.417513355569495
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.01,6.667117813869552,5.0862444090169765,"{'200': 0.024655961476645186, '400': 0.04109043677809795, '600': 0.04691304145364121, '800': 0.07133093307067384, '1000': 0.08566790104130559}","{'200': 0.09426846745537247, '400': 0.1304374161240253, '600': 0.11114711047943072, '800': 0.14506642381261312, '1000': 0.18070949307389492}",26.42222222222222,19.630462595883856
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.005,9.256521410601737,4.893112598130776,"{'200': 0.009053912153485187, '400': 0.026113438377255698, '600': 0.0126865229860241, '800': 0.01494294018088829, '1000': 0.01641589078836385}","{'200': 0.028613885220907347, '400': 0.11848310095109679, '600': 0.030282588098001745, '800': 0.03312954608851695, '1000': 0.0407456656698391}",15.822222222222225,8.776961987407434
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.01,9.196813522859603,4.773357657827424,"{'200': 0.011425935242175368, '400': 0.026413903768933426, '600': 0.013219167343078422, '800': 0.016467299472824132, '1000': 0.01761141500508715}","{'200': 0.03688805853399049, '400': 0.10409767067022346, '600': 0.031991845672484254, '800': 0.03711126240208077, '1000': 0.04231599191104855}",18.822222222222223,13.99887120669836
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.005,9.37631588304842,5.039395664127772,"{'200': 0.01108043365335776, '400': 0.0265454150373536, '600': 0.012209087084415546, '800': 0.01463998590502297, '1000': 0.016262783283855265}","{'200': 0.04212238909873637, '400': 0.11466282326189672, '600': 0.02584706155329166, '800': 0.026685976271072165, '1000': 0.032697842293353534}",15.022222222222222,9.42452801975047
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.01,8.44049257273915,4.734676270650004,"{'200': 0.010378851159957072, '400': 0.02915248404416487, '600': 0.014141396915353785, '800': 0.016788671583349294, '1000': 0.018461981984157088}","{'200': 0.0336676657528671, '400': 0.12529541812813696, '600': 0.03044921093800131, '800': 0.0301321408969468, '1000': 0.034474955503765455}",18.95555555555556,11.346963481342204
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.005,7.49021566169738,4.491402583844233,"{'200': 0.01632352017447572, '400': 0.031398855785495124, '600': 0.02683513980767037, '800': 0.03274370531371835, '1000': 0.03672636531827439}","{'200': 0.05204812052128105, '400': 0.12802154507919888, '600': 0.0646977846067922, '800': 0.07431067980667067, '1000': 0.08910469937074085}",21.977777777777774,14.372023578062873
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.01,7.349813762878806,4.782237667230125,"{'200': 0.0268189369710326, '400': 0.10570649307460914, '600': 0.10433676727115715, '800': 0.15122094478017079, '1000': 0.17725174806628244}","{'200': 0.11626461090082515, '400': 0.5019717154626379, '600': 0.5596061238867598, '800': 0.6507332431803718, '1000': 0.7246875914263486}",27.75555555555556,38.710409484648125
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.06,5,0.005,8.56502075721613,4.42781195552802,"{'200': 0.013060477700007121, '400': 0.02707763617069985, '600': 0.013157168473709263, '800': 0.014813349793201713, '1000': 0.016330934908552433}","{'200': 0.04700656081048065, '400': 0.11742824884055575, '600': 0.035098838551549834, '800': 0.03735739052492995, '1000': 0.04531864302105567}",16.77777777777778,10.87482084427425
