spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.95,0.01,0.2,1e-07,0.3,5.01288888888889,2.5221689274839285
0.95,0.01,0.2,1e-07,0.5,7.02488888888889,2.5462553090303874
0.95,0.01,0.2,1e-07,0.7,7.297333333333332,2.308775914250281
0.95,0.01,0.4,1e-07,0.3,9.770666666666665,1.652390053494903
0.95,0.01,0.4,1e-07,0.5,10.305777777777779,1.9715605650672758
0.95,0.01,0.4,1e-07,0.7,10.620444444444447,1.6944536393193144
0.95,0.01,0.6,1e-07,0.3,10.65466666666667,2.3395513340049723
0.95,0.01,0.6,1e-07,0.5,11.108444444444446,1.996309879703666
0.95,0.01,0.6,1e-07,0.7,10.105777777777778,2.313664230790524
0.95,0.01,0.8,1e-07,0.3,10.495111111111111,1.9314388674678349
0.95,0.01,0.8,1e-07,0.5,10.695555555555558,2.4878152446188655
0.95,0.01,0.8,1e-07,0.7,10.765333333333333,1.8515310181336717
0.95,0.01,1.0,1e-07,0.3,10.279555555555557,2.042418996686207
0.95,0.01,1.0,1e-07,0.5,10.71111111111111,1.9182471422539467
0.95,0.01,1.0,1e-07,0.7,9.727111111111112,2.2614337853300284
0.95,0.05,0.2,1e-07,0.3,4.679555555555556,2.717945266030169
0.95,0.05,0.2,1e-07,0.5,6.387111111111111,3.0470682610756064
0.95,0.05,0.2,1e-07,0.7,7.6124444444444475,1.9061084912058164
0.95,0.05,0.4,1e-07,0.3,7.775111111111112,2.2687094933975356
0.95,0.05,0.4,1e-07,0.5,9.661777777777779,1.922562282058779
0.95,0.05,0.4,1e-07,0.7,10.476444444444446,2.0882498313239943
0.95,0.05,0.6,1e-07,0.3,9.902666666666667,2.0406473918288226
0.95,0.05,0.6,1e-07,0.5,10.044000000000002,1.9724123977167314
0.95,0.05,0.6,1e-07,0.7,10.618666666666668,2.0599564180934613
0.95,0.05,0.8,1e-07,0.3,9.534222222222224,1.994537528004245
0.95,0.05,0.8,1e-07,0.5,10.156444444444446,2.0430751936513696
0.95,0.05,0.8,1e-07,0.7,10.454666666666668,1.6872141403969907
0.95,0.05,1.0,1e-07,0.3,10.20577777777778,1.6896265055908255
0.95,0.05,1.0,1e-07,0.5,9.946666666666667,1.9922695043035166
