spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.8,1e-07,0.1,29.503693628823633,26.50135595490118
0.92,0.01,0.8,1e-07,0.3,75.35180592225157,57.59897687472571
0.92,0.01,0.8,1e-07,0.5,81.33272884052946,48.052943535117684
0.92,0.01,0.8,1e-07,0.7,79.37212754798162,44.592587405138396
0.92,0.01,0.8,1e-07,0.9,90.14187801690801,53.695799713604075
0.92,0.01,0.9,1e-07,0.1,27.873785458392224,29.941239480482146
0.92,0.01,0.9,1e-07,0.3,64.83229769492672,48.166349396008606
0.92,0.01,0.9,1e-07,0.5,74.50507151683246,40.57767493303569
0.92,0.01,0.9,1e-07,0.7,73.11473806793433,44.66808654039088
0.92,0.01,0.9,1e-07,0.9,78.06713425962965,57.49115346210861
0.92,0.01,1.0,1e-07,0.1,28.35782418149008,38.64545845834336
0.92,0.01,1.0,1e-07,0.3,65.97727818225458,55.96104311913709
0.92,0.01,1.0,1e-07,0.5,65.12387657679281,42.729668311620955
0.92,0.01,1.0,1e-07,0.7,69.93492812758353,62.49723724892493
0.92,0.01,1.0,1e-07,0.9,58.29488581308726,49.601767666476874
0.92,0.05,0.1,1e-07,0.1,47.86205118631712,62.00472823764124
0.92,0.05,0.1,1e-07,0.3,63.83177320852335,46.69099664012087
0.92,0.05,0.1,1e-07,0.5,65.06965001644576,54.85181188898877
0.92,0.05,0.1,1e-07,0.7,67.55295979233894,53.91444104958828
0.92,0.05,0.1,1e-07,0.9,72.35867758309554,48.545955445719684
0.92,0.05,0.2,1e-07,0.1,63.66820456747651,37.99255958671081
0.92,0.05,0.2,1e-07,0.3,69.5295623649892,46.90839894259714
0.92,0.05,0.2,1e-07,0.5,67.23960139033345,44.50267913139516
0.92,0.05,0.2,1e-07,0.7,76.76214097127772,37.35399880154973
0.92,0.05,0.2,1e-07,0.9,81.42118036109554,35.943418077400665
0.92,0.05,0.3,1e-07,0.1,62.37210087918144,47.435548700110765
0.92,0.05,0.3,1e-07,0.3,64.2731418513481,44.913599377071186
0.92,0.05,0.3,1e-07,0.5,84.96813078379604,46.64563029674101
0.92,0.05,0.3,1e-07,0.7,86.81627863562419,41.418034733106744
0.92,0.05,0.3,1e-07,0.9,96.6001724582411,46.27921221017747
0.92,0.05,0.4,1e-07,0.1,72.5573601443671,56.42970599060988
0.92,0.05,0.4,1e-07,0.3,71.3114826963935,34.79607617434288
0.92,0.05,0.4,1e-07,0.5,100.05600448035841,53.166125073790525
0.92,0.05,0.4,1e-07,0.7,104.54969730911805,58.74014683165585
0.92,0.05,0.4,1e-07,0.9,106.13737987927924,63.34025800821756
0.92,0.05,0.5,1e-07,0.1,71.37948813682873,54.3488376936796
0.92,0.05,0.5,1e-07,0.3,75.17934768114782,49.816937352100986
0.92,0.05,0.5,1e-07,0.5,82.59060724857987,52.02843859126706
0.92,0.05,0.5,1e-07,0.7,94.64268252571316,57.60978110512787
0.92,0.05,0.5,1e-07,0.9,107.73172964948309,64.0989474764745
0.92,0.05,0.6,1e-07,0.1,66.81867882763953,49.472824982805214
0.92,0.05,0.6,1e-07,0.3,76.26876816812012,53.161218382301975
0.92,0.05,0.6,1e-07,0.5,85.54862166751118,52.30808410997846
0.92,0.05,0.6,1e-07,0.7,98.00872958725587,62.438565962996435
0.92,0.05,0.6,1e-07,0.9,89.5289400929852,57.22068569325431
0.92,0.05,0.7,1e-07,0.1,51.8477033718253,32.099263316519334
0.92,0.05,0.7,1e-07,0.3,77.61154225671386,63.15881573557154
0.92,0.05,0.7,1e-07,0.5,84.96324150376473,52.40827669108841
0.92,0.05,0.7,1e-07,0.7,65.59458089980531,46.83406826088396
0.92,0.05,0.7,1e-07,0.9,71.47860717746309,55.006205421250975
0.92,0.05,0.8,1e-07,0.1,53.933203545172496,38.58302928513309
0.92,0.05,0.8,1e-07,0.3,67.08047754931505,47.93083750853469
0.92,0.05,0.8,1e-07,0.5,55.165302113057926,40.9316327419689
0.92,0.05,0.8,1e-07,0.7,68.26234987687904,61.02122063229705
0.92,0.05,0.8,1e-07,0.9,68.08589131574969,57.31907382242082
0.92,0.05,0.9,1e-07,0.1,54.10477282627055,48.77061789253929
0.92,0.05,0.9,1e-07,0.3,57.927745330737565,38.34872967369933
0.92,0.05,0.9,1e-07,0.5,44.930705567556515,32.28655491065682
0.92,0.05,0.9,1e-07,0.7,43.327910677298625,41.50123284697132
0.92,0.05,0.9,1e-07,0.9,36.215786151781025,32.09006235477616
0.92,0.05,1.0,1e-07,0.1,51.69346881083819,51.70039054418351
0.92,0.05,1.0,1e-07,0.3,54.03987874585521,44.76696081202801
0.92,0.05,1.0,1e-07,0.5,37.8034687219422,39.597394865497954
0.92,0.05,1.0,1e-07,0.7,29.17522290672142,27.940953661137502
0.92,0.05,1.0,1e-07,0.9,27.662657457041007,28.84327199760751
0.92,0.1,0.1,1e-07,0.1,42.083366669333536,38.772042367377466
0.92,0.1,0.1,1e-07,0.3,56.12804579921949,31.424066412282144
0.92,0.1,0.1,1e-07,0.5,59.72255558222435,27.877705131259845
0.92,0.1,0.1,1e-07,0.7,63.01881928332046,32.22070942470855
0.92,0.1,0.1,1e-07,0.9,69.09975020223841,32.59992666292943
0.92,0.1,0.2,1e-07,0.1,79.92639411152892,46.394019129909104
0.92,0.1,0.2,1e-07,0.3,66.81023370758551,43.24879067868649
0.92,0.1,0.2,1e-07,0.5,74.79398351868147,48.88104031348869
0.92,0.1,0.2,1e-07,0.7,84.04672373789903,47.37102955691639
0.92,0.1,0.2,1e-07,0.9,97.03442942102035,53.414697626473306
0.92,0.1,0.3,1e-07,0.1,84.58632246135245,59.32513058834015
0.92,0.1,0.3,1e-07,0.3,67.39516939132908,39.450309899812
0.92,0.1,0.3,1e-07,0.5,74.73397871829746,47.797179407397095
0.92,0.1,0.3,1e-07,0.7,93.57993083891155,50.452277695696274
0.92,0.1,0.3,1e-07,0.9,108.2006560524842,57.58494779284543
0.92,0.1,0.4,1e-07,0.1,70.05627116836014,53.200448648187376
0.92,0.1,0.4,1e-07,0.3,85.99710199038145,60.69138826667546
0.92,0.1,0.4,1e-07,0.5,82.85551733027529,48.814849417124044
0.92,0.1,0.4,1e-07,0.7,97.88383070645652,70.20637353017545
0.92,0.1,0.4,1e-07,0.9,93.0003289152021,50.263035518841384
0.92,0.1,0.5,1e-07,0.1,70.01493452809558,50.70251878612615
0.92,0.1,0.5,1e-07,0.3,68.3156874772204,34.803070993469284
0.92,0.1,0.5,1e-07,0.5,76.77547537136303,52.503357950767814
0.92,0.1,0.5,1e-07,0.7,90.91882906188049,55.51215070505178
0.92,0.1,0.5,1e-07,0.9,117.17115146989536,69.76114354625663
0.92,0.1,0.6,1e-07,0.1,67.29249451067196,40.73214215932526
0.92,0.1,0.6,1e-07,0.3,84.01827701771695,45.615872678094995
0.92,0.1,0.6,1e-07,0.5,89.08045977011494,50.11097304229639
0.92,0.1,0.6,1e-07,0.7,107.81173604999512,63.25457064297286
0.92,0.1,0.6,1e-07,0.9,96.66062173862798,58.31901476053939
0.92,0.1,0.7,1e-07,0.1,56.53963428185365,28.909422269317854
0.92,0.1,0.7,1e-07,0.3,86.58603799415063,42.63530435344857
0.92,0.1,0.7,1e-07,0.5,82.64038900889847,58.00840496744175
0.92,0.1,0.7,1e-07,0.7,93.96262812136081,62.28498424818757
0.92,0.1,0.7,1e-07,0.9,86.10022135104141,58.85693630467704
0.92,0.1,0.8,1e-07,0.1,53.406494741801566,36.039273199616495
0.92,0.1,0.8,1e-07,0.3,88.03504280342428,57.950504941177755
0.92,0.1,0.8,1e-07,0.5,80.36865171435937,56.75946422007561
0.92,0.1,0.8,1e-07,0.7,80.07307251246766,57.1871208692319
0.92,0.1,0.8,1e-07,0.9,77.15595025379807,66.61912077738403
0.92,0.1,0.9,1e-07,0.1,49.34172511578704,35.25571536681334
0.92,0.1,0.9,1e-07,0.3,62.86458472233334,38.690566542346986
