spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.05,0.4,1e-07,0.7,3.4931683423562783,1.0964425286553785
0.92,0.05,0.4,1e-07,0.9,3.8887555448880367,1.0418040481074284
0.92,0.05,0.5,1e-07,0.1,2.8282262581006483,0.998873849283494
0.92,0.05,0.5,1e-07,0.3,3.4300521819523344,1.0157506920369148
0.92,0.05,0.5,1e-07,0.5,3.7380768239236923,1.1813798534482813
0.92,0.05,0.5,1e-07,0.7,3.915868825061562,1.0060704470514505
0.92,0.05,0.5,1e-07,0.9,3.9843187454996416,1.087809211490299
0.92,0.05,0.6,1e-07,0.1,2.9851276991048183,0.8538302358223533
0.92,0.05,0.6,1e-07,0.3,3.5340605026179883,1.0055041517623877
0.92,0.05,0.6,1e-07,0.5,3.9940973055622244,1.0194305599682876
0.92,0.05,0.6,1e-07,0.7,4.060324825986079,0.9869708238577195
0.92,0.05,0.6,1e-07,0.9,4.2150038669760255,1.0307103129291557
0.92,0.05,0.7,1e-07,0.1,2.969570899005255,0.9258875871465159
0.92,0.05,0.7,1e-07,0.3,3.7469664239805858,1.0622002658504315
0.92,0.05,0.7,1e-07,0.5,4.156776986603375,0.9897259288687653
0.92,0.05,0.7,1e-07,0.7,4.200336026882152,0.9858622574026576
0.92,0.05,0.7,1e-07,0.9,4.5136944288876455,1.345896164238184
0.92,0.05,0.8,1e-07,0.1,3.0491328195144507,0.9449805841986184
0.92,0.05,0.8,1e-07,0.3,3.7758576241654893,1.173024749399586
0.92,0.05,0.8,1e-07,0.5,4.359904347903389,1.156988704546777
0.92,0.05,0.8,1e-07,0.7,4.353237147860718,0.9615494571569573
0.92,0.05,0.8,1e-07,0.9,4.45413410850646,0.979418922783412
0.92,0.05,0.9,1e-07,0.1,3.1535856201829486,0.854702800992939
0.92,0.05,0.9,1e-07,0.3,3.8918669049079484,1.1085810671649563
0.92,0.05,0.9,1e-07,0.5,4.312344987599008,1.0151008575773672
0.92,0.05,0.9,1e-07,0.7,4.32479042767866,1.016234295875621
0.92,0.05,0.9,1e-07,0.9,4.397685148145186,0.9557481840594558
0.92,0.05,1.0,1e-07,0.1,3.2918189010676415,0.9419740445148893
0.92,0.05,1.0,1e-07,0.3,3.8807549048368317,0.9238101720231993
0.92,0.05,1.0,1e-07,0.5,4.207447706927667,0.975829906934497
0.92,0.05,1.0,1e-07,0.7,4.470579868611712,1.106824465254018
0.92,0.05,1.0,1e-07,0.9,4.383461788054156,0.9770117358949907
0.92,0.1,0.1,1e-07,0.1,1.1534256073819245,0.6503305992321122
0.92,0.1,0.1,1e-07,0.3,0.39336480251753586,0.1981852548576069
0.92,0.1,0.1,1e-07,0.5,0.6809433643580388,0.3456402938820686
0.92,0.1,0.1,1e-07,0.7,0.5591558435785979,0.3267596184421789
0.92,0.1,0.1,1e-07,0.9,0.8982940857490823,0.7768455119464277
0.92,0.1,0.2,1e-07,0.1,1.8917068921069247,0.943746712620338
0.92,0.1,0.2,1e-07,0.3,0.7276137646567292,0.4142963748702728
0.92,0.1,0.2,1e-07,0.5,1.1556480073961477,0.816288463072877
0.92,0.1,0.2,1e-07,0.7,1.4574499293276801,1.0226763356820276
0.92,0.1,0.2,1e-07,0.9,1.4298921691513107,1.1920284120126385
0.92,0.1,0.3,1e-07,0.1,2.1112800135121916,0.7458514836401313
0.92,0.1,0.3,1e-07,0.3,1.9290432123458774,0.9547705670546619
0.92,0.1,0.3,1e-07,0.5,2.0170502529091228,1.0936318242958574
0.92,0.1,0.3,1e-07,0.7,2.506422736041106,1.0214604993119283
0.92,0.1,0.3,1e-07,0.9,3.034464979420577,1.0669905177648724
0.92,0.1,0.4,1e-07,0.1,2.488199055924475,0.7475878815683465
0.92,0.1,0.4,1e-07,0.3,2.873118738387961,1.002496441097905
0.92,0.1,0.4,1e-07,0.5,3.2784845009823016,0.9932187873027164
0.92,0.1,0.4,1e-07,0.7,3.395827221733296,0.9525923036158681
0.92,0.1,0.4,1e-07,0.9,3.6847392235823326,0.9477549868203324
0.92,0.1,0.5,1e-07,0.1,2.8420051381888327,1.0596093767993056
0.92,0.1,0.5,1e-07,0.3,3.2855961810278163,0.9979566937790308
0.92,0.1,0.5,1e-07,0.5,3.5096141024615313,0.886277299011306
0.92,0.1,0.5,1e-07,0.7,3.7980816243077236,1.0503938035639147
0.92,0.1,0.5,1e-07,0.9,3.954983065311893,0.84724767675326
0.92,0.1,0.6,1e-07,0.1,3.074912659679443,1.0547620041651158
0.92,0.1,0.6,1e-07,0.3,3.6234009831897676,0.9248438020399439
0.92,0.1,0.6,1e-07,0.5,3.7883030642451407,0.8661757796889659
0.92,0.1,0.6,1e-07,0.7,4.020766105732903,1.0081325795058715
0.92,0.1,0.6,1e-07,0.9,4.142998106515189,0.8969958862774331
0.92,0.1,0.7,1e-07,0.1,3.118027219955376,1.0108778910440432
0.92,0.1,0.7,1e-07,0.3,3.6749606635197503,0.9642108297626394
0.92,0.1,0.7,1e-07,0.5,4.058102425971857,1.0049151256442823
0.92,0.1,0.7,1e-07,0.7,4.193224346836636,1.0744428632730507
0.92,0.1,0.7,1e-07,0.9,4.307011227564873,1.076070389523287
0.92,0.1,0.8,1e-07,0.1,3.187366100399144,0.9716574822210889
0.92,0.1,0.8,1e-07,0.3,3.737632343920848,1.1040335709254179
0.92,0.1,0.8,1e-07,0.5,4.110995546310372,1.0757282953583898
0.92,0.1,0.8,1e-07,0.7,4.147442906543636,0.9452119909456428
0.92,0.1,0.8,1e-07,0.9,4.317678747633145,0.8987385657519267
0.92,0.1,0.9,1e-07,0.1,3.1166937799468415,1.00137073359374
0.92,0.1,0.9,1e-07,0.3,3.742966103954983,1.1038483462013104
0.92,0.1,0.9,1e-07,0.5,4.293232347476688,1.212200056003541
0.92,0.1,0.9,1e-07,0.7,4.448355868469479,1.0086607728642927
0.92,0.1,0.9,1e-07,0.9,4.457689948529216,0.9536156609273385
0.92,0.1,1.0,1e-07,0.1,3.1558080201971723,0.9238140214256099
0.92,0.1,1.0,1e-07,0.3,3.8411961845836564,1.0635967179767694
0.92,0.1,1.0,1e-07,0.5,4.2567849872434245,1.0340849953455062
0.92,0.1,1.0,1e-07,0.7,4.511027548870576,0.9636685237283716
0.92,0.1,1.0,1e-07,0.9,4.603923869465112,0.9874597193754869
0.92,0.2,0.1,1e-07,0.1,1.1667600074672653,0.5752677178093459
0.92,0.2,0.1,1e-07,0.3,0.3804748824350401,0.17657328252820584
