spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,10,0.9,1e-07,0.5,4.160777306628975,1.127647957202995
0.92,10,0.9,1e-07,0.7,4.272786267345834,1.0733511983547943
0.92,10,0.9,1e-07,0.9,4.374127707994418,0.8815523293527994
0.92,10,1.0,1e-07,0.1,3.2704838609310976,1.0268321191396985
0.92,10,1.0,1e-07,0.3,3.9785405054626595,1.0876148660767184
0.92,10,1.0,1e-07,0.5,4.089660506173828,1.0006807629245933
0.92,10,1.0,1e-07,0.7,4.386128668071225,1.0686057298075313
0.92,10,1.0,1e-07,0.9,4.484358748699896,1.1435023619127729
0.92,15,0.1,1e-07,0.1,0.9698553662070749,0.46977267921328064
0.92,15,0.1,1e-07,0.3,0.17823648114071536,0.05685870476019307
0.92,15,0.1,1e-07,0.5,0.30224640193437835,0.13052887674909253
0.92,15,0.1,1e-07,0.7,0.7396147247335348,0.5729990300040081
0.92,15,0.1,1e-07,0.9,0.7756176049639539,0.6577643295399608
0.92,15,0.2,1e-07,0.1,1.8539260918651277,0.688083756982942
0.92,15,0.2,1e-07,0.3,0.39425376252322447,0.17271122585873702
0.92,15,0.2,1e-07,0.5,0.5938252838004825,0.3917641803041198
0.92,15,0.2,1e-07,0.7,1.662355210639075,0.9318372465953871
0.92,15,0.2,1e-07,0.9,2.0708323332533274,0.9275568189378277
0.92,15,0.3,1e-07,0.1,2.234400974300167,0.7534186473791279
0.92,15,0.3,1e-07,0.3,1.3792214488270185,0.7331974852232839
0.92,15,0.3,1e-07,0.5,1.8477033718253026,0.9417550584394343
0.92,15,0.3,1e-07,0.7,2.797557137904367,1.0191058984781438
0.92,15,0.3,1e-07,0.9,3.3762701016081293,1.169249740930294
0.92,15,0.4,1e-07,0.1,2.4864211359130968,0.9135944523586859
0.92,15,0.4,1e-07,0.3,2.608653136695381,0.8717321491556919
0.92,15,0.4,1e-07,0.5,2.9580144189312927,0.9337339010835086
0.92,15,0.4,1e-07,0.7,3.2473709007831744,0.9519599550785803
0.92,15,0.4,1e-07,0.9,3.5980656230276207,1.2002309903125117
0.92,15,0.5,1e-07,0.1,2.6713248170964805,1.094051208690419
0.92,15,0.5,1e-07,0.3,3.110026579904171,1.136687196507666
0.92,15,0.5,1e-07,0.5,3.3607133015085657,1.1489772824582996
0.92,15,0.5,1e-07,0.7,3.561618262794357,1.0079554081952762
0.92,15,0.5,1e-07,0.9,3.862531224720201,1.0597134098994876
0.92,15,0.6,1e-07,0.1,2.8606732983083103,1.0798105380014194
0.92,15,0.6,1e-07,0.3,3.26026082086567,1.0662184974130837
0.92,15,0.6,1e-07,0.5,3.594954263007708,1.1371780910114755
0.92,15,0.6,1e-07,0.7,3.8171942644300443,1.126413181415002
0.92,15,0.6,1e-07,0.9,3.9625392253602514,1.0241411502586855
0.92,15,0.7,1e-07,0.1,3.0926918597932294,1.0823335405416503
0.92,15,0.7,1e-07,0.3,3.5407277026606576,0.9901408379809303
0.92,15,0.7,1e-07,0.5,3.857197464686064,1.3101613379338872
0.92,15,0.7,1e-07,0.7,4.1234409863900225,1.0869700080858855
0.92,15,0.7,1e-07,0.9,4.244339547163774,1.1092714237921182
0.92,15,0.8,1e-07,0.1,3.150918740165882,0.9939862885080905
0.92,15,0.8,1e-07,0.3,3.810527064387374,1.2097808346774495
0.92,15,0.8,1e-07,0.5,4.047434905903584,0.9998946904563667
0.92,15,0.8,1e-07,0.7,4.279453467388503,1.090416077100878
0.92,15,0.8,1e-07,0.9,4.3683494679574375,1.1618418205727485
0.92,15,0.9,1e-07,0.1,3.168253460276823,0.9352482440613316
0.92,15,0.9,1e-07,0.3,3.918980185081475,1.1124630348556097
0.92,15,0.9,1e-07,0.5,4.24878434719222,1.1321250326809194
0.92,15,0.9,1e-07,0.7,4.38479522806269,1.1286204163528302
0.92,15,0.9,1e-07,0.9,4.387906588082602,0.9816445265258505
0.92,15,1.0,1e-07,0.1,3.4629437021628413,0.9434556873043646
0.92,15,1.0,1e-07,0.3,3.919424665084319,0.9569413947678411
0.92,15,1.0,1e-07,0.5,4.034544985821089,0.9378039329939227
0.92,15,1.0,1e-07,0.7,4.438132828404051,1.0987676927789554
0.92,15,1.0,1e-07,0.9,4.604812829470803,1.0745730384204046
0.92,20,0.1,1e-07,0.1,0.9316300859624335,0.39318370428678406
0.92,20,0.1,1e-07,0.3,0.221351041416648,0.1021105140095288
0.92,20,0.1,1e-07,0.5,0.4000320025602057,0.16205548286443483
0.92,20,0.1,1e-07,0.7,0.47781600305802335,0.3434539289865931
0.92,20,0.1,1e-07,0.9,0.7658390449013702,0.5979496818355126
0.92,20,0.2,1e-07,0.1,1.8503702518423704,0.7455065277840821
0.92,20,0.2,1e-07,0.3,0.5142633632912865,0.19663706911905715
0.92,20,0.2,1e-07,0.5,0.8040643251460127,0.4971174516775079
0.92,20,0.2,1e-07,0.7,1.2498777679992183,1.1590855633465402
0.92,20,0.2,1e-07,0.9,1.5063427296405942,0.9700794136569966
0.92,20,0.3,1e-07,0.1,2.191730894027078,0.8980942564555608
0.92,20,0.3,1e-07,0.3,1.7054697709150073,0.879912803156127
0.92,20,0.3,1e-07,0.5,1.5218995297401585,0.7054366756203175
0.92,20,0.3,1e-07,0.7,2.25173569441111,1.217595672412867
0.92,20,0.3,1e-07,0.9,2.702438417295606,1.0345313840561756
0.92,20,0.4,1e-07,0.1,2.4770870558533575,0.8723384057960056
0.92,20,0.4,1e-07,0.3,2.4681974557964645,1.0013184498387173
0.92,20,0.4,1e-07,0.5,2.6895484972131105,1.0930109412987223
0.92,20,0.4,1e-07,0.7,3.09180289978754,1.171133030631705
0.92,20,0.4,1e-07,0.9,3.6185117031584753,1.1045023101327027
0.92,20,0.5,1e-07,0.1,2.910010578624068,0.9164101962546553
0.92,20,0.5,1e-07,0.3,3.154030100185793,0.9626829427490515
0.92,20,0.5,1e-07,0.5,3.2211465806153394,1.0918419437577467
0.92,20,0.5,1e-07,0.7,3.68651714359371,1.043793316027905
0.92,20,0.5,1e-07,0.9,3.79408130428212,0.9330157228532288
0.92,20,0.6,1e-07,0.1,2.9442355388431087,0.8560809474442868
0.92,20,0.6,1e-07,0.3,3.432719061969403,1.0348412788366692
0.92,20,0.6,1e-07,0.5,3.606955223084514,1.0088951973695712
0.92,20,0.6,1e-07,0.7,3.914535385053027,1.0481179644223668
