spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,10,0.6,1e-07,0.7,42.98388315509685,6.508122343381597
0.92,10,0.6,1e-07,0.9,42.9625481149603,6.531463515206039
0.92,10,0.7,1e-07,0.1,43.64926971935532,5.811382791413228
0.92,10,0.7,1e-07,0.3,43.06077819558898,6.4240603319481275
0.92,10,0.7,1e-07,0.5,43.002106835213475,6.488268063303192
0.92,10,0.7,1e-07,0.7,42.968770835000136,6.524660264154667
0.92,10,0.7,1e-07,0.9,42.8380937141638,6.681523670215892
0.92,10,0.8,1e-07,0.1,43.6350463592643,5.823278453209938
0.92,10,0.8,1e-07,0.3,43.043443475478036,6.442574428071666
0.92,10,0.8,1e-07,0.5,42.98877243512814,6.502830790152606
0.92,10,0.8,1e-07,0.7,42.88343067445396,6.6262349250328265
0.92,10,0.8,1e-07,0.9,42.73408539349814,6.798663371605278
0.92,10,0.9,1e-07,0.1,43.62393435919317,5.8332132772920104
0.92,10,0.9,1e-07,0.3,43.030998035398376,6.456842697636593
0.92,10,0.9,1e-07,0.5,42.97499355503996,6.517886254731678
0.92,10,0.9,1e-07,0.7,42.823425874069926,6.69895363990324
0.92,10,0.9,1e-07,0.9,42.539403152252184,7.020050157714771
0.92,10,1.0,1e-07,0.1,43.61415579913059,5.842945753025989
0.92,10,1.0,1e-07,0.3,43.01899707532157,6.47067051309432
0.92,10,1.0,1e-07,0.5,42.962103634957465,6.5319895034572815
0.92,10,1.0,1e-07,0.7,42.76697691370866,6.762773774659684
0.92,10,1.0,1e-07,0.9,42.33494235094363,7.2397276718958805
0.92,15,0.1,1e-07,0.1,41.645553866531536,8.05761974886523
0.92,15,0.1,1e-07,0.3,41.65088762656568,8.05118366406515
0.92,15,0.1,1e-07,0.5,41.57488154607923,8.143373361378478
0.92,15,0.1,1e-07,0.7,41.609106506298275,8.102059424223594
0.92,15,0.1,1e-07,0.9,41.58954938617311,8.12574514661468
0.92,15,0.2,1e-07,0.1,42.51717915210995,7.032872599239949
0.92,15,0.2,1e-07,0.3,42.33005307091234,7.246741635274235
0.92,15,0.2,1e-07,0.5,42.02647322896943,7.600411487167634
0.92,15,0.2,1e-07,0.7,42.08470010934207,7.534738901529283
0.92,15,0.2,1e-07,0.9,42.05136410912873,7.575809355016518
0.92,15,0.3,1e-07,0.1,43.28968539705398,6.188928514635196
0.92,15,0.3,1e-07,0.3,42.984327635099696,6.508479505732175
0.92,15,0.3,1e-07,0.5,42.69319323323643,6.833636926919103
