spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,10,0.2,1e-07,0.3,95.82677725329138,55.95018858330258
0.92,10,0.2,1e-07,0.5,75.1224542407837,38.335722455025795
0.92,10,0.2,1e-07,0.7,71.18613933559128,36.31356357267688
0.92,10,0.2,1e-07,0.9,90.96283258216212,52.59578736737239
0.92,10,0.3,1e-07,0.1,78.52761554257674,60.10442749146545
0.92,10,0.3,1e-07,0.3,91.25663386404247,57.61298089920451
0.92,10,0.3,1e-07,0.5,83.65024757536159,38.54114396783271
0.92,10,0.3,1e-07,0.7,107.49437732796406,60.95789717451615
0.92,10,0.3,1e-07,0.9,99.77109279853501,54.67646847494796
0.92,10,0.4,1e-07,0.1,76.09719888702206,55.95938010906483
0.92,10,0.4,1e-07,0.3,84.65610582179906,39.10494070903857
0.92,10,0.4,1e-07,0.5,95.89389373372092,50.12705127468145
0.92,10,0.4,1e-07,0.7,103.85541954467469,52.62834451210369
0.92,10,0.4,1e-07,0.9,112.52855784018278,56.26201229969049
0.92,10,0.5,1e-07,0.1,74.8050955187526,53.77346725937774
0.92,10,0.5,1e-07,0.3,92.2540469904259,50.293385986446985
0.92,10,0.5,1e-07,0.5,100.11912064076235,50.6855620672352
0.92,10,0.5,1e-07,0.7,114.22336009102948,59.28304065783949
0.92,10,0.5,1e-07,0.9,117.01024970886562,55.67906277336701
0.92,10,0.6,1e-07,0.1,75.62782800401808,56.86167229435734
0.92,10,0.6,1e-07,0.3,88.67553848752343,49.79948745771986
0.92,10,0.6,1e-07,0.5,103.46427714217138,52.328512741620386
0.92,10,0.6,1e-07,0.7,116.56176938599532,56.577665703675855
0.92,10,0.6,1e-07,0.9,123.27030606892998,61.3773270797353
0.92,10,0.7,1e-07,0.1,66.63999786649597,48.45150510034654
0.92,10,0.7,1e-07,0.3,103.61184450311583,58.385900624068896
0.92,10,0.7,1e-07,0.5,109.71899974220163,63.99709615671212
0.92,10,0.7,1e-07,0.7,121.31548301641912,69.97250561292498
0.92,10,0.7,1e-07,0.9,118.8792881208275,65.31340562142294
0.92,10,0.8,1e-07,0.1,61.06844103083801,47.65410905885153
0.92,10,0.8,1e-07,0.3,93.28035131699424,53.45412175607232
0.92,10,0.8,1e-07,0.5,92.85142811424913,51.0635375934552
0.92,10,0.8,1e-07,0.7,107.9259674107262,64.6806389523043
