spectral_radius,input_scale,leaking_rate,ridge_alpha,jump,mean_T_VPT,std_dev
0.9,0.8,0.5,1e-07,20,4.442000000000007,2.670579712347113
0.9,0.8,0.6,1e-06,1,3.704000000000005,2.173932841648979
0.9,0.8,0.6,1e-06,5,4.141000000000004,1.8211477150412596
0.9,0.8,0.6,1e-06,10,4.324000000000005,1.8242982212346723
0.9,0.8,0.6,1e-06,20,2.9920000000000044,1.8396238746004565
0.9,0.8,0.6,1e-07,1,3.012000000000003,1.9531246759999723
0.9,0.8,0.6,1e-07,5,3.932000000000002,2.242288117080407
0.9,0.8,0.6,1e-07,10,4.329000000000005,2.221526277134708
0.9,0.8,0.6,1e-07,20,3.393000000000005,2.708573609854457
0.9,0.8,0.7,1e-06,1,3.2110000000000056,1.941550668924198
0.9,0.8,0.7,1e-06,5,4.011000000000005,1.9312221519027786
0.9,0.8,0.7,1e-06,10,3.8010000000000046,1.4490890241803631
0.9,0.8,0.7,1e-06,20,3.2390000000000057,2.28046903070399
0.9,0.8,0.7,1e-07,1,1.9540000000000048,0.9663353455193475
0.9,0.8,0.7,1e-07,5,4.155000000000006,2.2269519527820973
0.9,0.8,0.7,1e-07,10,3.8770000000000024,2.3867574237865044
0.9,0.8,0.7,1e-07,20,2.964000000000007,2.707512511513106
0.9,0.9,0.3,1e-06,1,5.119000000000007,1.7602212929060927
0.9,0.9,0.3,1e-06,5,6.591000000000006,1.8040119179207192
0.9,0.9,0.3,1e-06,10,6.625000000000005,2.712606679929843
0.9,0.9,0.3,1e-06,20,6.871,2.699055205067134
0.9,0.9,0.3,1e-07,1,4.9060000000000015,2.679485771561402
0.9,0.9,0.3,1e-07,5,6.353000000000003,2.359544659462925
0.9,0.9,0.3,1e-07,10,6.5660000000000025,2.163923288843671
0.9,0.9,0.3,1e-07,20,6.8350000000000035,2.4512435619497324
0.9,0.9,0.4,1e-06,1,3.9820000000000038,1.376704761377693
0.9,0.9,0.4,1e-06,5,4.2600000000000025,1.7323394586512197
0.9,0.9,0.4,1e-06,10,5.3370000000000015,2.5218348478835813
0.9,0.9,0.4,1e-06,20,5.1600000000000055,2.64096194595833
0.9,0.9,0.4,1e-07,1,3.3250000000000055,1.9175074967258903
0.9,0.9,0.4,1e-07,5,4.6810000000000045,2.0104076701007707
0.9,0.9,0.4,1e-07,10,5.742000000000006,2.4791603417286248
0.9,0.9,0.4,1e-07,20,5.244000000000007,3.044369228592356
0.9,0.9,0.5,1e-06,1,2.9350000000000036,1.1520047742956632
0.9,0.9,0.5,1e-06,5,3.018000000000005,1.6139132566529115
0.9,0.9,0.5,1e-06,10,3.9910000000000054,1.8975824092776588
0.9,0.9,0.5,1e-06,20,2.386000000000004,1.2206244303634113
0.9,0.9,0.5,1e-07,1,2.691000000000004,1.7122204881381358
0.9,0.9,0.5,1e-07,5,2.9150000000000036,1.8977447141277963
0.9,0.9,0.5,1e-07,10,3.9990000000000068,2.15647374201496
0.9,0.9,0.5,1e-07,20,3.0510000000000077,2.1426009894518403
0.9,0.9,0.6,1e-06,1,2.207000000000008,1.0255978744127743
0.9,0.9,0.6,1e-06,5,2.4240000000000053,1.1537348048836877
0.9,0.9,0.6,1e-06,10,2.885000000000004,1.4549072135363137
0.9,0.9,0.6,1e-06,20,2.410000000000005,2.2519724687482263
0.9,0.9,0.6,1e-07,1,1.6730000000000018,0.7325919737480091
0.9,0.9,0.6,1e-07,5,1.9180000000000021,1.0012172591400943
0.9,0.9,0.6,1e-07,10,2.7720000000000082,1.4850643083718633
0.9,0.9,0.6,1e-07,20,2.510000000000005,2.6703145882086643
0.9,0.9,0.7,1e-06,1,1.746000000000005,0.5433267893266455
0.9,0.9,0.7,1e-06,5,2.0980000000000034,0.9776072831152584
0.9,0.9,0.7,1e-06,10,2.285000000000005,2.1989531600286543
0.9,0.9,0.7,1e-06,20,2.207000000000005,2.510125694063945
0.9,0.9,0.7,1e-07,1,1.2170000000000045,0.5285555789129477
0.9,0.9,0.7,1e-07,5,1.8300000000000054,0.9920987854039518
0.9,0.9,0.7,1e-07,10,2.2630000000000026,1.4983761210056716
0.9,0.9,0.7,1e-07,20,2.158000000000004,1.9954037185492073
0.9,1.0,0.3,1e-06,1,4.459000000000008,1.7911501891242965
0.9,1.0,0.3,1e-06,5,5.552000000000004,2.759908694141893
0.9,1.0,0.3,1e-06,10,4.7520000000000024,1.525521550159161
0.9,1.0,0.3,1e-06,20,4.755000000000007,1.5094220748352658
