tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.45,"[0.1, 0.7]","[0.3, 0.3, 0.1]",4.378222222222223,1.931363696561334,"{'200': 0.565044041903377, '400': 1.4385423043655672, '600': 1.9085947057107138, '800': 3.7554398165355836, '1000': 5.022233845558689}","{'200': 0.479929724820544, '400': 0.6219098945726514, '600': 0.4051600644152352, '800': 10.617219268248647, '1000': 15.47053293548849}"
0.01,0.45,"[0.1, 0.9]","[0.3, 0.3, 0.1]",4.450666666666668,1.9356794959680468,"{'200': 0.5605238992010908, '400': 1.3688584682597267, '600': 5.26119659745719, '800': 9.76175125522726, '1000': 12.385288595769113}","{'200': 0.49302424080467266, '400': 0.5609995348085333, '600': 16.994710197248974, '800': 29.836788765640172, '1000': 36.816348060648146}"
0.01,0.45,"[0.3, 0.1]","[0.3, 0.3, 0.1]",4.182222222222222,1.3736518868231642,"{'200': 0.5187602984642576, '400': 1.5603186246556584, '600': 3.3954533204721176, '800': 4.581822297141354, '1000': 5.129310827351292}","{'200': 0.44245868138815664, '400': 0.6683583985674295, '600': 10.481507854168223, '800': 13.315385736462394, '1000': 15.13347587137757}"
0.01,0.45,"[0.3, 0.3]","[0.3, 0.3, 0.1]",4.147111111111112,1.698810854976991,"{'200': 0.6679692228472679, '400': 1.883379083939671, '600': 2.2642808560478125, '800': 2.812416957661302, '1000': 4.05218920828321}","{'200': 0.5913068309149431, '400': 2.4720913698540454, '600': 2.5828669762988485, '800': 3.0912516606479845, '1000': 5.080844387739556}"
0.01,0.45,"[0.3, 0.5]","[0.3, 0.3, 0.1]",3.962222222222223,1.1030158433210668,"{'200': 0.6021986639764633, '400': 3.8923285434464265, '600': 6.505136627496082, '800': 12.439817349128202, '1000': 15.729069653820753}","{'200': 0.5073454757107678, '400': 14.28130952320852, '600': 19.00986696144313, '800': 26.349373051362704, '1000': 32.11744930546997}"
0.01,0.45,"[0.3, 0.7]","[0.3, 0.3, 0.1]",4.481333333333334,1.5592784656158545,"{'200': 0.4863862023257165, '400': 3.108470458547717, '600': 4.787295565641168, '800': 8.602924061977374, '1000': 10.48277794824789}","{'200': 0.5151430248182624, '400': 11.461940166337216, '600': 16.038426522073394, '800': 21.420417416310737, '1000': 25.73153802279316}"
0.01,0.45,"[0.3, 0.9]","[0.3, 0.3, 0.1]",3.9537777777777783,1.4152051895025899,"{'200': 0.6754428260576258, '400': 3.3553886283825984, '600': 5.618846223639885, '800': 6.436170446668825, '1000': 7.77397003093356}","{'200': 0.5818221885939979, '400': 7.791436547386785, '600': 14.906702911813142, '800': 17.847601360827426, '1000': 19.832274459646612}"
0.01,0.45,"[0.5, 0.1]","[0.3, 0.3, 0.1]",4.110666666666667,1.6236014836707244,"{'200': 0.6485974312162002, '400': 1.6529700066984712, '600': 2.758727212933305, '800': 3.3584751354150977, '1000': 4.302042346958816}","{'200': 0.5555224603879931, '400': 1.046819923871056, '600': 4.266855026180857, '800': 5.3762428422370485, '1000': 7.207875952005758}"
0.01,0.45,"[0.5, 0.3]","[0.3, 0.3, 0.1]",3.837333333333334,1.2310183679467264,"{'200': 0.7457281344206228, '400': 3.6374589081375426, '600': 6.980851137706733, '800': 10.13475444760056, '1000': 12.54932494598953}","{'200': 0.5944888911066133, '400': 12.785810315533823, '600': 20.79166247742297, '800': 28.32206620307498, '1000': 33.40178953241604}"
0.01,0.45,"[0.5, 0.5]","[0.3, 0.3, 0.1]",3.5973333333333346,1.081164803965303,"{'200': 0.7179322944690558, '400': 4.4309930600139396, '600': 5.319382837346651, '800': 6.223136264165187, '1000': 8.07504847846585}","{'200': 0.5203951064994682, '400': 18.735438035595436, '600': 22.427658911155106, '800': 23.563081432880946, '1000': 26.47186707446049}"
0.01,0.45,"[0.5, 0.7]","[0.3, 0.3, 0.1]",4.068444444444447,1.5526750472874664,"{'200': 0.6318092043648403, '400': 2.945808070732012, '600': 5.080045571777009, '800': 7.144289307046715, '1000': 8.594310801657668}","{'200': 0.54336867109388, '400': 9.549833306551127, '600': 16.0595392134073, '800': 20.69780759620539, '1000': 24.555806385544344}"
0.01,0.45,"[0.5, 0.9]","[0.3, 0.3, 0.1]",4.036444444444445,1.4363242523973094,"{'200': 9.311482332256384, '400': 14.797966304509437, '600': 16.639509462686043, '800': 19.457283552889372, '1000': 21.89499559277612}","{'200': 33.66964230283844, '400': 43.49788951779832, '600': 45.014429948719254, '800': 47.85837814235036, '1000': 51.01230122478834}"
0.01,0.45,"[0.7, 0.1]","[0.3, 0.3, 0.1]",3.8222222222222224,1.4638531937457073,"{'200': 0.7741003923935265, '400': 2.803239733498755, '600': 3.4787237899202696, '800': 3.74825030980504, '1000': 3.939133731757327}","{'200': 0.6002093017826936, '400': 7.635425349412464, '600': 10.275745242986416, '800': 11.160032560031365, '1000': 11.744597913128525}"
0.01,0.45,"[0.7, 0.3]","[0.3, 0.3, 0.1]",3.5173333333333354,1.0003163943917388,"{'200': 2.3785807781545367, '400': 5.707311007791722, '600': 9.293848569159703, '800': 10.43243578066337, '1000': 11.19833486180079}","{'200': 10.94906420632214, '400': 17.078636478038103, '600': 27.81185464914509, '800': 31.666866996136175, '1000': 34.08706337624283}"
0.01,0.45,"[0.7, 0.5]","[0.3, 0.3, 0.1]",4.176444444444445,1.755834914481877,"{'200': 1.1372503752027519, '400': 7.277517971196554, '600': 12.7311466550988, '800': 16.084259642777173, '1000': 18.224357048405462}","{'200': 2.4336997270359886, '400': 24.25803189493586, '600': 33.83544867410561, '800': 38.853237720232336, '1000': 42.18942343158889}"
0.01,0.45,"[0.7, 0.7]","[0.3, 0.3, 0.1]",3.617333333333334,1.1517762128314886,"{'200': 2.712341357376363, '400': 10.135348171586084, '600': 13.809890212267513, '800': 15.27422182368808, '1000': 16.59848517321871}","{'200': 13.46691510335987, '400': 29.69930736935123, '600': 36.17906155688254, '800': 39.45537260474992, '1000': 42.72499420268149}"
0.01,0.45,"[0.7, 0.9]","[0.3, 0.3, 0.1]",3.848,1.1359608756955981,"{'200': 2.757933145906261, '400': 8.04424831462686, '600': 11.788045377528857, '800': 15.959319207161045, '1000': 20.703941612703744}","{'200': 14.582296790535905, '400': 26.630509744177235, '600': 33.308237345908715, '800': 38.97819217231372, '1000': 45.371223199831554}"
0.01,0.45,"[0.9, 0.1]","[0.3, 0.3, 0.1]",3.9253333333333345,1.363618715037309,"{'200': 0.6169638716202496, '400': 2.161645068607525, '600': 4.14281846533442, '800': 5.110402300530856, '1000': 5.722529024265459}","{'200': 0.4900037299831158, '400': 2.9595671343390673, '600': 11.750548762550908, '800': 16.87083182179125, '1000': 19.851137450326664}"
0.01,0.45,"[0.9, 0.3]","[0.3, 0.3, 0.1]",3.6715555555555563,1.0603269004427216,"{'200': 0.6530696753849748, '400': 1.6064805238921187, '600': 1.9002857243713303, '800': 2.0689894241092883, '1000': 2.17810560447155}","{'200': 0.48053913653250097, '400': 0.4416387596581031, '600': 0.3403946142066967, '800': 0.31282074563848444, '1000': 0.27688906917984846}"
0.01,0.45,"[0.9, 0.5]","[0.3, 0.3, 0.1]",4.00488888888889,1.4061399048810068,"{'200': 0.6311508733767968, '400': 1.573274710050918, '600': 1.916358329208814, '800': 2.0700009146924887, '1000': 5.2042287636593985}","{'200': 0.5457610050851894, '400': 0.5388212737419832, '600': 0.36729776233513534, '800': 0.2934083486195391, '1000': 12.149814798866343}"
0.01,0.45,"[0.9, 0.7]","[0.3, 0.3, 0.1]",3.744000000000001,1.1403749870595687,"{'200': 0.6764458300881601, '400': 1.5942436360452596, '600': 1.9315675906419356, '800': 2.0815622441075887, '1000': 4.1191835216415535}","{'200': 0.5524505528478313, '400': 0.47840544973884985, '600': 0.3452542261389591, '800': 0.32393608765991727, '1000': 9.146282855241921}"
0.01,0.45,"[0.9, 0.9]","[0.3, 0.3, 0.1]",3.918666666666667,1.397256995370255,"{'200': 0.6648770097242225, '400': 3.3883544198356503, '600': 5.1813393526412925, '800': 7.014194944129173, '1000': 9.424526151347717}","{'200': 0.48599077778889926, '400': 8.29588394605482, '600': 12.517927924773513, '800': 15.680163391328083, '1000': 21.698188583741075}"
0.01,0.7,"[0.1, 0.1]","[0.3, 0.3, 0.1]",3.8253333333333344,1.3144286464721724,"{'200': 0.6641599668603517, '400': 1.5967321098305942, '600': 1.961836709336705, '800': 2.12991625278223, '1000': 2.4172400960990092}","{'200': 0.5653762991302446, '400': 0.6375961909861215, '600': 0.7134423024976249, '800': 0.6612156493209551, '1000': 1.3505644114589195}"
0.01,0.7,"[0.1, 0.3]","[0.3, 0.3, 0.1]",4.511555555555557,1.6609581646421314,"{'200': 0.5216316960125343, '400': 1.3484862523075856, '600': 3.053563725682128, '800': 4.179132885797653, '1000': 4.820756445034762}","{'200': 0.5400235855939736, '400': 0.630606482112241, '600': 6.389572836457878, '800': 10.426336320598706, '1000': 12.388715074162995}"
0.01,0.7,"[0.1, 0.5]","[0.3, 0.3, 0.1]",4.5200000000000005,1.554537444601019,"{'200': 0.4769147868845422, '400': 2.991990111951332, '600': 3.6720042644879882, '800': 3.9784952921684864, '1000': 4.172282511352307}","{'200': 0.46462195976020443, '400': 11.067223046781635, '600': 12.693292705837662, '800': 13.282979932434081, '1000': 13.746126235778107}"
0.01,0.7,"[0.1, 0.7]","[0.3, 0.3, 0.1]",4.434666666666668,1.505110700985885,"{'200': 0.4333927144867307, '400': 1.3582077775985306, '600': 1.7931964599458423, '800': 1.9881383113810056, '1000': 2.113252921033628}","{'200': 0.4085789279830879, '400': 0.5503350039337572, '600': 0.35174072426946695, '800': 0.2885783105213428, '1000': 0.267440542869726}"
0.01,0.7,"[0.1, 0.9]","[0.3, 0.3, 0.1]",4.067555555555558,1.218832146962467,"{'200': 0.4526610031770495, '400': 1.3387817601313183, '600': 2.728358801134492, '800': 3.0469021478835234, '1000': 3.8235132661914544}","{'200': 0.4336958315078828, '400': 0.45826927165980225, '600': 6.484064550509, '800': 7.381751710105262, '1000': 8.655061382658278}"
0.01,0.7,"[0.3, 0.1]","[0.3, 0.3, 0.1]",3.8737777777777778,1.137035695499269,"{'200': 0.6372354268073256, '400': 1.6389942261235142, '600': 1.9814853173104894, '800': 2.3026669530807014, '1000': 2.5810964817402424}","{'200': 0.5380356270238712, '400': 0.7053867614449536, '600': 0.4727334832726118, '800': 1.3411423946683847, '1000': 2.5053259747626204}"
0.01,0.7,"[0.3, 0.3]","[0.3, 0.3, 0.1]",4.273333333333334,1.572728697377763,"{'200': 0.5469539327198701, '400': 1.8276496340459782, '600': 2.385819569305905, '800': 3.3184902207310336, '1000': 4.405324753769848}","{'200': 0.5273831961164999, '400': 2.7293544343860203, '600': 3.645191318688235, '800': 5.319870573419872, '1000': 7.836599860912932}"
0.01,0.7,"[0.3, 0.5]","[0.3, 0.3, 0.1]",4.228000000000001,1.4306946253869521,"{'200': 0.5032936654637288, '400': 1.441381161473928, '600': 1.8072138027894968, '800': 2.4448528062391555, '1000': 3.2469891553437793}","{'200': 0.4935247366213845, '400': 0.4881050496390234, '600': 0.34943260529809433, '800': 3.0457381965504924, '1000': 5.405241607376525}"
0.01,0.7,"[0.3, 0.7]","[0.3, 0.3, 0.1]",4.476444444444445,1.5126799699070599,"{'200': 0.4732883323637071, '400': 2.7304116422736433, '600': 3.7858936518917456, '800': 3.9820581506790815, '1000': 4.821479654251261}","{'200': 0.49396997800765946, '400': 8.339097601371469, '600': 9.021353591963727, '800': 9.198647083729833, '1000': 10.355436192808991}"
0.01,0.7,"[0.3, 0.9]","[0.3, 0.3, 0.1]",4.214666666666667,1.480518827978895,"{'200': 0.615036182858321, '400': 1.4634374965548496, '600': 3.308504609662037, '800': 4.125518085983629, '1000': 4.2179842462028505}","{'200': 0.5350079770084701, '400': 0.6123005883912032, '600': 6.777103604534716, '800': 10.017154623787388, '1000': 10.004907601353896}"
0.01,0.7,"[0.5, 0.1]","[0.3, 0.3, 0.1]",3.751111111111112,1.882903457986831,"{'200': 2.571255459833047, '400': 5.122925727129412, '600': 5.6730076832951974, '800': 7.654996602739235, '1000': 8.735133782270841}","{'200': 9.08933980170518, '400': 14.107168228651714, '600': 13.624437861030666, '800': 15.12152120701488, '1000': 16.35263271295584}"
