tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.085,0.7,"[0.7, 0.7]","[0.3, 0.5, 0.3]",6.398,1.977372243,"{'200': 0.11716884912877806, '400': 0.495945385592314, '600': 1.4281279291749582, '800': 1.775526342174071, '1000': 2.0858403801319794}","{'200': 0.2354306374608128, '400': 0.4568958424013357, '600': 0.33710059343583865, '800': 0.45060897488568147, '1000': 1.2809755031306242}"
0.085,0.45,"[0.3, 0.3]","[0.3, 0.3, 0.9]",6.3972,1.941478932,"{'200': 0.10883819593279348, '400': 0.6195405422964242, '600': 1.4240529059522489, '800': 1.7671049635343052, '1000': 1.9398027055402054}","{'200': 0.1572993561083334, '400': 0.4724238496967889, '600': 0.35643368725976826, '800': 0.27114744513415623, '1000': 0.24018543100307232}"
0.085,0.7,"[0.9, 0.9]","[0.3, 0.7, 0.1]",6.3896,1.768321182,"{'200': 0.10052591449855644, '400': 0.5694650555064272, '600': 1.4548362312147478, '800': 1.7328076169524889, '1000': 1.914722632690481}","{'200': 0.22157021383315317, '400': 0.4568758486428453, '600': 0.2511666226233239, '800': 0.2409741340676098, '1000': 0.2543183115105168}"
0.085,0.7,"[0.3, 0.5]","[0.3, 0.7, 0.1]",6.3844,1.719575256,"{'200': 0.08273705478555082, '400': 0.5181854607367361, '600': 1.4294391223819791, '800': 1.7450906047140797, '1000': 1.9209190604780175}","{'200': 0.11443681139569545, '400': 0.3968597584103022, '600': 0.2949305838333908, '800': 0.229337782070872, '1000': 0.22410613356065656}"
0.085,0.45,"[0.9, 0.5]","[0.3, 0.5, 0.1]",6.3828,1.976229406,"{'200': 0.12298030741146615, '400': 0.8618863156799282, '600': 1.6236981775383044, '800': 1.960584398646672, '1000': 2.1418723539407107}","{'200': 0.1985953595226813, '400': 1.629750785094445, '600': 1.705487383805368, '800': 1.7703931009402085, '1000': 1.7680364735688552}"
0.085,0.7,"[0.7, 0.5]","[0.3, 0.7, 0.1]",6.3788,1.872568237,"{'200': 0.12176873111731418, '400': 0.5336799331919435, '600': 1.4810419766278777, '800': 1.739886316331292, '1000': 1.9040480968838496}","{'200': 0.25352280694549434, '400': 0.49974124575610157, '600': 0.31763495367039934, '800': 0.25849553712070994, '1000': 0.2425759714775443}"
0.085,0.7,"[0.5, 0.9]","[0.3, 0.5, 0.1]",6.376,1.613266604,"{'200': 0.0948166177236924, '400': 0.531057002955869, '600': 1.419725539054281, '800': 1.7305589920015567, '1000': 1.916635724206659}","{'200': 0.1341365545623418, '400': 0.39668037017116564, '600': 0.26106782016908064, '800': 0.22034446553780465, '1000': 0.2199138865555245}"
0.085,0.7,"[0.9, 0.9]","[0.3, 0.3, 0.5]",6.3748,1.879555293,"{'200': 0.09667415650944212, '400': 0.5504377534904248, '600': 1.3897507269105005, '800': 1.7176766575842748, '1000': 1.9187336196854305}","{'200': 0.17595463533577094, '400': 0.4716117958409534, '600': 0.4233240476796546, '800': 0.32151176497565775, '1000': 0.2868649925632124}"
0.085,0.45,"[0.7, 0.1]","[0.3, 0.3, 0.9]",6.3744,2.108638739,"{'200': 0.10168129959314627, '400': 0.6048698349650141, '600': 1.4412156373665008, '800': 1.7352447547095524, '1000': 1.9288735133241988}","{'200': 0.15202752418681906, '400': 0.4751546685337593, '600': 0.34855536510521806, '800': 0.24644048024196813, '1000': 0.24584515634104595}"
0.085,0.7,"[0.5, 0.9]","[0.3, 0.3, 0.1]",6.3728,1.922595262,"{'200': 0.07920612626739167, '400': 0.5364747052956672, '600': 1.36516529082441, '800': 1.7073599751540214, '1000': 1.8960878508997268}","{'200': 0.1164600941756165, '400': 0.42327729266663144, '600': 0.3423823412010755, '800': 0.25093357901012714, '1000': 0.23072920978378558}"
0.085,0.7,"[0.3, 0.3]","[0.3, 0.7, 0.9]",6.37,2.005003617,"{'200': 0.10662239064519498, '400': 0.5155316833636496, '600': 1.3363809037731373, '800': 1.6571478661841201, '1000': 1.8532642526455563}","{'200': 0.14123199767782504, '400': 0.4034906734077366, '600': 0.37670814224377114, '800': 0.332078673842668, '1000': 0.25526036699690147}"
0.085,0.7,"[0.3, 0.9]","[0.3, 0.3, 0.9]",6.3688,1.761611832,"{'200': 0.09286642379581284, '400': 0.5965407803295454, '600': 1.3686184500232659, '800': 1.7397656363421916, '1000': 1.9387663663793058}","{'200': 0.15000800821807947, '400': 0.48729420474058427, '600': 0.38251894324842955, '800': 0.4031718289925412, '1000': 0.44091896342890385}"
0.085,0.7,"[0.9, 0.9]","[0.3, 0.3, 0.3]",6.3668,2.301688741,"{'200': 0.18380155793064049, '400': 1.2630015528514067, '600': 2.0426339339324504, '800': 2.3235925580441075, '1000': 2.5152826024416486}","{'200': 0.40072196736593735, '400': 3.569060636305232, '600': 3.5294107507082786, '800': 3.5323976502918546, '1000': 3.5746515965734322}"
0.06,0.45,"[0.3, 0.5]","[0.3, 0.3, 0.7]",6.3652,2.146945278,"{'200': 0.14281736269754794, '400': 0.679301201435275, '600': 1.3746529057644945, '800': 1.6844535622123993, '1000': 1.8679670215171735}","{'200': 0.2695408952908366, '400': 0.5926841604716955, '600': 0.4425207567340922, '800': 0.32321959782546955, '1000': 0.2672740602773389}"
0.085,0.9,"[0.7, 0.5]","[0.3, 0.5, 0.5]",6.3652,1.846078312,"{'200': 0.142590214100553, '400': 0.6037127047311719, '600': 1.461195895174594, '800': 1.7361018832365593, '1000': 1.9130372556989712}","{'200': 0.2846266705220467, '400': 0.6234035631862754, '600': 0.3824368982142252, '800': 0.32502932252905364, '1000': 0.2999796342757194}"
0.085,0.9,"[0.7, 0.5]","[0.3, 0.7, 0.3]",6.3652,1.954992646,"{'200': 0.10186486424592639, '400': 0.6677736673293501, '600': 1.5412026063068607, '800': 1.9822109597053903, '1000': 2.160858375786172}","{'200': 0.1719814181701049, '400': 0.8363279820042931, '600': 0.9729701576987702, '800': 1.2518037022436623, '1000': 1.2252725872544152}"
0.085,0.9,"[0.5, 0.1]","[0.3, 0.7, 0.3]",6.3632,1.65105554,"{'200': 0.08654403122541149, '400': 0.5246988929543888, '600': 1.4171205881726097, '800': 1.7280652504866332, '1000': 1.877768593954324}","{'200': 0.11452418931053825, '400': 0.43527001583628244, '600': 0.28085324273720125, '800': 0.24063139874768885, '1000': 0.2392305701592249}"
0.085,0.45,"[0.9, 0.7]","[0.3, 0.3, 0.9]",6.358,1.904581092,"{'200': 0.12468312763813727, '400': 0.5763149220730963, '600': 1.4158758677968861, '800': 1.694947028296319, '1000': 1.870265617130682}","{'200': 0.24579771366426378, '400': 0.5442434828606484, '600': 0.349734921608774, '800': 0.24439406175344255, '1000': 0.23994551275267437}"
0.085,0.45,"[0.7, 0.5]","[0.3, 0.3, 0.9]",6.3556,1.749863854,"{'200': 0.12053881529275659, '400': 0.5238744728714103, '600': 1.349936139254738, '800': 1.6778032848273328, '1000': 1.8495624214989081}","{'200': 0.2314137265845178, '400': 0.4362084980245799, '600': 0.29888586496724895, '800': 0.24384073058750078, '1000': 0.23692691464961568}"
0.085,0.7,"[0.7, 0.3]","[0.3, 0.5, 0.7]",6.3504,1.760331282,"{'200': 0.09724862590039628, '400': 0.5764306688099604, '600': 1.4186093876807266, '800': 1.7224812357437043, '1000': 1.8862246043403297}","{'200': 0.18580582201895418, '400': 0.5224672381832441, '600': 0.38806824175898763, '800': 0.28264525148634917, '1000': 0.2566912810401587}"
0.085,0.7,"[0.9, 0.1]","[0.3, 0.3, 0.5]",6.3432,2.079018572,"{'200': 0.14527077510060518, '400': 0.5666105667550223, '600': 1.3611366901003443, '800': 1.7137890221362175, '1000': 1.8862906782632716}","{'200': 0.29267507794900544, '400': 0.5356556721699026, '600': 0.3989406826750521, '800': 0.29651327995981275, '1000': 0.2631254942878547}"
0.085,0.7,"[0.7, 0.3]","[0.3, 0.3, 0.9]",6.3428,1.998747558,"{'200': 0.08490309724660892, '400': 0.5224175757135138, '600': 1.2917280256033297, '800': 1.6595113377696387, '1000': 1.8556131091825818}","{'200': 0.1297733215812799, '400': 0.4127021188884426, '600': 0.38941144266756367, '800': 0.3014928206199673, '1000': 0.2656405127824235}"
0.085,0.9,"[0.5, 0.5]","[0.3, 0.7, 0.1]",6.3428,1.815309163,"{'200': 0.14268326477348608, '400': 0.5566762960129377, '600': 1.4449217384714168, '800': 1.7361971303581223, '1000': 1.9086927972994208}","{'200': 0.3124524291559978, '400': 0.6551234340694101, '600': 0.42255521134476054, '800': 0.3353110701393252, '1000': 0.29737071735790616}"
