spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.6,1e-07,0.1,8.50977777777778,2.113195041625505
0.92,0.01,0.6,1e-07,0.3,10.019555555555558,1.7507712022046558
0.92,0.01,0.6,1e-07,0.5,10.16577777777778,1.9356612294153457
0.92,0.01,0.6,1e-07,0.7,10.603555555555557,1.686027751920742
0.92,0.01,0.6,1e-07,0.9,10.367555555555557,2.2475993667867606
0.92,0.01,0.7,1e-07,0.1,8.605777777777778,2.0647114287354107
0.92,0.01,0.7,1e-07,0.3,10.41288888888889,2.6207417289531874
0.92,0.01,0.7,1e-07,0.5,10.423555555555556,2.186537755911086
0.92,0.01,0.7,1e-07,0.7,10.732000000000001,1.94841656508846
0.92,0.01,0.7,1e-07,0.9,10.852,2.0424534266415963
0.92,0.01,0.8,1e-07,0.1,9.022222222222224,1.9565876064537449
0.92,0.01,0.8,1e-07,0.3,10.08977777777778,2.2851622737311126
0.92,0.01,0.8,1e-07,0.5,10.507111111111113,2.20503728587495
0.92,0.01,0.8,1e-07,0.7,11.110222222222223,1.8871712975172226
0.92,0.01,0.8,1e-07,0.9,10.95111111111111,1.8996774255087772
0.92,0.01,0.9,1e-07,0.1,9.030222222222225,1.7589068434543704
0.92,0.01,0.9,1e-07,0.3,9.985777777777779,2.099776166789518
0.92,0.01,0.9,1e-07,0.5,10.960888888888888,1.6325791758539911
0.92,0.01,0.9,1e-07,0.7,11.062666666666669,1.2870472666793036
0.92,0.01,0.9,1e-07,0.9,11.257777777777779,1.8478298248833398
0.92,0.01,1.0,1e-07,0.1,9.636888888888889,2.414515200681285
0.92,0.01,1.0,1e-07,0.3,10.201333333333334,2.18741206807395
0.92,0.01,1.0,1e-07,0.5,11.570666666666668,1.5725003444620718
0.92,0.01,1.0,1e-07,0.7,11.052000000000001,2.2383581284305487
0.92,0.01,1.0,1e-07,0.9,11.452,1.5073178533776836
0.92,0.05,0.1,1e-07,0.1,3.2791111111111126,1.4385174810233896
0.92,0.05,0.1,1e-07,0.3,2.4048888888888893,1.4359149189004856
0.92,0.05,0.1,1e-07,0.5,1.9755555555555568,1.4143134267678446
0.92,0.05,0.1,1e-07,0.7,2.6124444444444452,1.9529136699990444
0.92,0.05,0.1,1e-07,0.9,3.637777777777779,2.1930120219449463
0.92,0.05,0.2,1e-07,0.1,5.740444444444444,1.4976217525063686
0.92,0.05,0.2,1e-07,0.3,3.9128888888888893,2.110714067926589
0.92,0.05,0.2,1e-07,0.5,4.385777777777778,2.2158003208160246
0.92,0.05,0.2,1e-07,0.7,6.375111111111114,2.3409861380976684
0.92,0.05,0.2,1e-07,0.9,7.658666666666668,1.6712810788267916
