spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.6,1e-07,0.7,42.868762834360076,6.6401595825542445
0.92,0.01,0.6,1e-07,0.9,42.66519099305722,6.874938950228526
0.92,0.01,0.7,1e-07,0.1,43.64571387933257,5.814411943557427
0.92,0.01,0.7,1e-07,0.3,43.10655963588198,6.38892278295613
0.92,0.01,0.7,1e-07,0.5,42.959881234943246,6.535650889771424
0.92,0.01,0.7,1e-07,0.7,42.782089233805365,6.737969342278639
0.92,0.01,0.7,1e-07,0.9,42.47228667182263,7.0966781625000515
0.92,0.01,0.8,1e-07,0.1,43.63282395925007,5.8273839579986415
0.92,0.01,0.8,1e-07,0.3,43.11278235592181,6.400093382668353
0.92,0.01,0.8,1e-07,0.5,42.899876434559204,6.603084369799557
0.92,0.01,0.8,1e-07,0.7,42.50073339200469,7.063534681714884
0.92,0.01,0.8,1e-07,0.9,42.45184059169178,7.121143312414224
0.92,0.01,0.9,1e-07,0.1,43.59948795903672,5.865318337857825
0.92,0.01,0.9,1e-07,0.3,43.0501106755207,6.476975351415388
0.92,0.01,0.9,1e-07,0.5,42.86831835435724,6.6417255486667
0.92,0.01,0.9,1e-07,0.7,42.47673147185108,7.091897896157551
0.92,0.01,0.9,1e-07,0.9,42.43583931158937,7.139858783275716
0.92,0.01,1.0,1e-07,0.1,43.65238107937523,5.870669431423984
0.92,0.01,1.0,1e-07,0.3,43.0261087553671,6.506898414316187
0.92,0.01,1.0,1e-07,0.5,42.80564667395614,6.718704206877253
0.92,0.01,1.0,1e-07,0.7,42.45895227173729,7.112423121698709
0.92,0.01,1.0,1e-07,0.9,42.41806011147558,7.159900383051713
0.92,0.05,0.1,1e-07,0.1,41.85134810784863,7.8119436946358745
0.92,0.05,0.1,1e-07,0.3,41.838902667768984,7.827455142927684
0.92,0.05,0.1,1e-07,0.5,41.75000666720003,7.934299723040169
0.92,0.05,0.1,1e-07,0.7,41.72511578704073,7.962773889999619
0.92,0.05,0.1,1e-07,0.9,41.6988914668729,7.99498191895752
0.92,0.05,0.2,1e-07,0.1,43.038998675449584,6.455025783729496
0.92,0.05,0.2,1e-07,0.3,42.8292041141069,6.6840861743369375
0.92,0.05,0.2,1e-07,0.5,42.60207483265328,6.9439410487730715
0.92,0.05,0.2,1e-07,0.7,42.47450907183686,7.096235930571936
0.92,0.05,0.2,1e-07,0.9,42.2918277906677,7.296698365681346
0.92,0.05,0.3,1e-07,0.1,43.68749499959996,5.775620498644656
0.92,0.05,0.3,1e-07,0.3,43.28212923700563,6.194356882340861
0.92,0.05,0.3,1e-07,0.5,43.01944155532442,6.469766000618351
0.92,0.05,0.3,1e-07,0.7,42.92787867473842,6.575092340548376
0.92,0.05,0.3,1e-07,0.9,42.70430523330755,6.825837537286212
0.92,0.05,0.4,1e-07,0.1,43.82128348045621,5.648890393144007
0.92,0.05,0.4,1e-07,0.3,43.47636699824874,5.994307711887467
0.92,0.05,0.4,1e-07,0.5,43.05366651554346,6.432232679432756
0.92,0.05,0.4,1e-07,0.7,43.01099643527037,6.478532091874972
0.92,0.05,0.4,1e-07,0.9,42.91632219466446,6.584368458868043
0.92,0.05,0.5,1e-07,0.1,43.779946840191656,5.687360476420211
0.92,0.05,0.5,1e-07,0.3,43.42614075792729,6.046569842517372
0.92,0.05,0.5,1e-07,0.5,43.04166555546664,6.445297591980058
0.92,0.05,0.5,1e-07,0.7,43.00299579521917,6.487376114924356
0.92,0.05,0.5,1e-07,0.9,42.932767954769716,6.565377906924293
0.92,0.05,0.6,1e-07,0.1,43.69594011965401,5.765097133657487
0.92,0.05,0.6,1e-07,0.3,43.291018837062516,6.188351690605336
0.92,0.05,0.6,1e-07,0.5,43.02655323536994,6.461731073520057
0.92,0.05,0.6,1e-07,0.7,42.99099483514237,6.500507444192068
0.92,0.05,0.6,1e-07,0.9,42.86876283436008,6.639187491689462
0.92,0.05,0.7,1e-07,0.1,43.671049239494714,5.788541695853933
0.92,0.05,0.7,1e-07,0.3,43.13545083606688,6.347485942492687
0.92,0.05,0.7,1e-07,0.5,43.01188539527606,6.477641700305338
0.92,0.05,0.7,1e-07,0.7,42.94565787485221,6.550640212659882
0.92,0.05,0.7,1e-07,0.9,42.786089553830976,6.74064620765642
0.92,0.05,0.8,1e-07,0.1,43.65460347938946,5.80557568902109
0.92,0.05,0.8,1e-07,0.3,43.05633339556052,6.432573416488307
0.92,0.05,0.8,1e-07,0.5,42.99721755518219,6.493895038121987
0.92,0.05,0.8,1e-07,0.7,42.86431803433163,6.643532083775039
0.92,0.05,0.8,1e-07,0.9,42.713639313367295,6.819753252999839
