spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,5,0.7,1e-07,0.7,9.780888888888889,1.9536402742029184
0.92,5,0.7,1e-07,0.9,9.877333333333334,1.893847817422391
0.92,5,0.8,1e-07,0.1,8.527111111111111,1.9706971380393652
0.92,5,0.8,1e-07,0.3,10.10177777777778,1.9503655371224804
0.92,5,0.8,1e-07,0.5,10.498222222222225,1.952269663623899
0.92,5,0.8,1e-07,0.7,10.366222222222223,1.6740307827899683
0.92,5,0.8,1e-07,0.9,10.604000000000001,1.9350594593218855
0.92,5,0.9,1e-07,0.1,8.63288888888889,1.9059026700370407
0.92,5,0.9,1e-07,0.3,10.324888888888891,2.0450488961524416
0.92,5,0.9,1e-07,0.5,10.851555555555555,1.9049852207715483
0.92,5,0.9,1e-07,0.7,10.69688888888889,1.8426307548625775
0.92,5,0.9,1e-07,0.9,11.098222222222224,2.327752649029043
0.92,5,1.0,1e-07,0.1,8.576444444444446,1.740121522647268
0.92,5,1.0,1e-07,0.3,10.395111111111111,1.8923713779538005
0.92,5,1.0,1e-07,0.5,10.99377777777778,1.7265087300855817
0.92,5,1.0,1e-07,0.7,11.142222222222223,1.4884218172859598
0.92,5,1.0,1e-07,0.9,11.022666666666668,1.908938506663382
0.92,10,0.1,1e-07,0.1,2.6062222222222236,1.2481653894841713
0.92,10,0.1,1e-07,0.3,2.6155555555555567,1.1550845193809762
0.92,10,0.1,1e-07,0.5,3.137777777777778,1.110381093516773
0.92,10,0.1,1e-07,0.7,4.527111111111111,1.3375610012626584
0.92,10,0.1,1e-07,0.9,5.012888888888891,1.172948084902543
0.92,10,0.2,1e-07,0.1,4.734222222222224,2.074966654499284
0.92,10,0.2,1e-07,0.3,5.317777777777778,1.6285029101586102
0.92,10,0.2,1e-07,0.5,6.406666666666667,1.7876017453560509
0.92,10,0.2,1e-07,0.7,7.10977777777778,1.8744249356819211
0.92,10,0.2,1e-07,0.9,7.212444444444447,1.481328466171956
0.92,10,0.3,1e-07,0.1,5.7795555555555564,2.02092383226149
0.92,10,0.3,1e-07,0.3,7.6355555555555545,1.968245191992723
0.92,10,0.3,1e-07,0.5,7.926222222222225,1.7342655043291884
0.92,10,0.3,1e-07,0.7,7.9799999999999995,1.2811106292761942
0.92,10,0.3,1e-07,0.9,8.088444444444443,1.5255599417271253
0.92,10,0.4,1e-07,0.1,6.4973333333333345,1.724307783817418
0.92,10,0.4,1e-07,0.3,8.80488888888889,2.0868185484897785
0.92,10,0.4,1e-07,0.5,8.308444444444445,1.8256030425960084
0.92,10,0.4,1e-07,0.7,8.829777777777778,1.958160689001446
0.92,10,0.4,1e-07,0.9,8.684000000000001,1.7214391911679279
0.92,10,0.5,1e-07,0.1,7.123111111111113,1.734343067718498
0.92,10,0.5,1e-07,0.3,9.149333333333335,2.066901492035306
0.92,10,0.5,1e-07,0.5,9.494222222222225,1.6553891638979086
0.92,10,0.5,1e-07,0.7,9.032888888888891,1.810616374144724
0.92,10,0.5,1e-07,0.9,9.578222222222223,1.8231295302173727
0.92,10,0.6,1e-07,0.1,7.546222222222223,1.4965371716642526
0.92,10,0.6,1e-07,0.3,9.751111111111113,2.178503280513912
0.92,10,0.6,1e-07,0.5,9.532888888888891,2.109382871544526
0.92,10,0.6,1e-07,0.7,9.532000000000002,2.138624272231515
0.92,10,0.6,1e-07,0.9,10.140444444444446,1.8923447601740082
0.92,10,0.7,1e-07,0.1,7.757777777777777,1.4782645814736632
0.92,10,0.7,1e-07,0.3,10.1,1.9282876687188903
0.92,10,0.7,1e-07,0.5,9.825333333333337,2.0197267141868473
0.92,10,0.7,1e-07,0.7,10.074222222222224,1.8100490955758797
0.92,10,0.7,1e-07,0.9,10.909333333333333,2.1239359689030177
0.92,10,0.8,1e-07,0.1,8.031555555555556,1.5617624738388867
0.92,10,0.8,1e-07,0.3,10.170222222222224,1.8051512572990651
0.92,10,0.8,1e-07,0.5,10.581333333333333,1.8541839774472817
0.92,10,0.8,1e-07,0.7,10.565777777777779,1.8398145907658896
0.92,10,0.8,1e-07,0.9,10.50888888888889,1.7386408768821209
0.92,10,0.9,1e-07,0.1,8.238222222222223,1.472285130731422
0.92,10,0.9,1e-07,0.3,10.194666666666667,2.0768583111142767
0.92,10,0.9,1e-07,0.5,10.853333333333335,1.7289637230305188
0.92,10,0.9,1e-07,0.7,10.900000000000002,1.522150525481045
0.92,10,0.9,1e-07,0.9,10.622222222222225,2.004892780606583
0.92,10,1.0,1e-07,0.1,8.516000000000002,1.5712732275309589
0.92,10,1.0,1e-07,0.3,10.38488888888889,2.2550059100412545
0.92,10,1.0,1e-07,0.5,10.729777777777777,2.118240872767242
0.92,10,1.0,1e-07,0.7,11.560444444444444,2.0775048662123043
0.92,10,1.0,1e-07,0.9,10.746222222222222,1.80564951550391
0.92,15,0.1,1e-07,0.1,2.68888888888889,1.3651246947069573
0.92,15,0.1,1e-07,0.3,2.7315555555555573,1.1455148392376155
0.92,15,0.1,1e-07,0.5,3.6928888888888904,1.618916815133189
0.92,15,0.1,1e-07,0.7,4.645333333333335,1.7350780962250665
0.92,15,0.1,1e-07,0.9,5.078666666666667,1.5516494449456033
0.92,15,0.2,1e-07,0.1,4.708,1.6007076213003075
0.92,15,0.2,1e-07,0.3,5.4506666666666685,1.7199100751686605
0.92,15,0.2,1e-07,0.5,6.3244444444444445,1.5780994977159581
0.92,15,0.2,1e-07,0.7,7.1977777777777785,2.0428704085606704
0.92,15,0.2,1e-07,0.9,6.911111111111112,1.7792710395267957
0.92,15,0.3,1e-07,0.1,5.9666666666666694,1.8143722514045089
0.92,15,0.3,1e-07,0.3,7.305333333333335,1.7466279893936585
0.92,15,0.3,1e-07,0.5,7.415555555555557,1.5200753717505164
0.92,15,0.3,1e-07,0.7,8.297777777777778,1.8149562454338966
0.92,15,0.3,1e-07,0.9,8.192000000000002,1.5273238760073855
0.92,15,0.4,1e-07,0.1,6.634222222222222,1.8544343119355693
0.92,15,0.4,1e-07,0.3,7.926222222222224,1.5154658820000446
0.92,15,0.4,1e-07,0.5,8.623555555555557,1.8392524514723134
0.92,15,0.4,1e-07,0.7,8.792000000000002,1.6565313157317607
0.92,15,0.4,1e-07,0.9,8.586666666666668,1.683931906778498
0.92,15,0.5,1e-07,0.1,7.105777777777779,1.5173815002444013
0.92,15,0.5,1e-07,0.3,8.73688888888889,1.7375177981147218
0.92,15,0.5,1e-07,0.5,9.474666666666668,1.784617730620326
0.92,15,0.5,1e-07,0.7,9.90088888888889,2.0104967017267943
0.92,15,0.5,1e-07,0.9,9.449333333333334,1.8620256592097637
0.92,15,0.6,1e-07,0.1,7.387111111111111,1.4558336629989663
0.92,15,0.6,1e-07,0.3,9.195555555555558,1.7828461085897407
0.92,15,0.6,1e-07,0.5,9.86488888888889,2.044588110894191
0.92,15,0.6,1e-07,0.7,9.943555555555557,1.8573208369471401
